 	non	so	cosa	stai	scrivendo	</S>
e	0.91412	0.06434723	0.0008916743	0.003635525	0.0028295682	0.014175988
n	0.0022242328	0.86875284	0.0005187547	0.0010030854	0.0009866351	0.12651446
e	0.025235739	0.67823464	0.011255685	0.11425138	0.10395754	0.06706498
t	0.034521196	0.11091885	0.13946554	0.5194425	0.09321581	0.10243609
s	0.036818188	0.38387665	0.027098779	0.3462521	0.10467316	0.10128112
è	0.08649218	0.040760178	0.28978154	0.3929107	0.17272547	0.017329907
r	0.011925036	0.0017772809	0.43461156	0.4996451	0.0511124	0.000928573
o	0.0010398178	0.0067407833	0.91754985	0.028768683	0.036622573	0.009278261
e	0.020544464	0.00068382017	0.07131551	0.5116824	0.38368788	0.012085927
s	0.05034115	0.046894886	0.017430935	0.6471911	0.065670334	0.17247166
ù	0.0068562794	0.006679358	0.0026378438	0.8836396	0.094842106	0.0053448724
t	0.00435118	0.00017421924	0.0019754726	0.80821306	0.18062063	0.0046655047
i	0.00025898407	0.00038635117	0.0043309713	0.6070392	0.37580565	0.012178866
s	0.021791078	0.0016030846	0.027628496	0.32183236	0.59365976	0.033485204
t	0.0026606927	0.0069469274	0.0033185468	0.14525309	0.82861483	0.013205877
e	0.004329102	0.0010036764	0.020641916	0.06920796	0.87599975	0.028817516
g	0.015117038	0.003184447	0.03559834	0.06201975	0.87136155	0.012718858
r	0.0015872733	0.011747258	0.001257278	0.0069239847	0.9475471	0.030937033
à	0.0034043498	0.0014684484	0.008610816	0.010814488	0.8369989	0.13870294
f	0.0022099395	0.0014934088	0.01508667	0.015057772	0.9403393	0.025812967
i	0.0003368681	0.00061131624	0.0013818673	0.005502151	0.89067173	0.101496145
</S>	0.054870777	0.015680611	0.19080447	0.2028867	0.495889	0.039868474
