 	se	avessi	visto	le	nuvole	avrei	capito	che	pioverà	</S>
a	0.86010313	0.098096356	0.025350053	0.0014165003	0.008484627	0.002338987	0.000700526	0.001167212	0.0013279392	0.0010146903
n	0.18190749	0.12845036	0.017441222	0.0034076378	0.0017622756	0.004357512	0.0053410083	0.00931428	0.048109803	0.5999085
ì	0.0007636359	0.9339549	0.05102161	0.0028173286	0.0016368486	0.0011139648	0.00017673436	0.0015510508	0.0044373935	0.0025265296
c	0.0012662394	0.96502465	0.023752011	0.0025194695	0.00062208343	0.00011557137	0.0029387344	0.0007770676	0.00091131334	0.0020727692
h	0.003643348	0.9233825	0.06393315	0.0049321204	0.0013335465	0.00071678346	0.00011721999	0.00014176816	0.0009431125	0.0008562726
a	0.008046362	0.545669	0.1726789	0.05378279	0.00826355	0.0025269224	0.13841094	0.035393216	0.033085216	0.0021430235
d	0.0025243848	0.14106454	0.7708487	0.05207659	0.012043907	0.006483277	0.0008139001	0.01202953	0.0020332674	8.189528e-05
ò	0.0288753	0.22864954	0.43406823	0.10984424	0.024048734	0.022107594	0.005811638	0.033303455	0.10752771	0.0057635084
n	0.0017204264	0.014899443	0.77795583	0.18325357	0.011562437	0.0029272528	0.0018832725	0.0046812403	0.0010145116	0.00010196888
t	0.0044384315	0.041539036	0.48479277	0.372076	0.023440475	0.006860503	0.020525122	0.013166325	0.022829138	0.010332212
a	0.013895301	0.002854145	0.07345468	0.15499142	0.012740501	0.0056615425	0.47184926	0.1745889	0.06084614	0.029118158
t	0.0072872457	0.00511198	0.2798218	0.5768558	0.062348954	0.018972551	0.010697207	0.03084271	0.007388096	0.0006736795
a	0.0060900794	0.0025385583	0.38449454	0.27787572	0.1605271	0.054712556	0.0016547536	0.010346659	0.09905352	0.0027065792
s	0.0201643	0.0146478955	0.12187919	0.50601155	0.23905735	0.045970324	0.006517473	0.01827566	0.004910743	0.022565518
ì	0.013301756	0.0010106422	0.13642953	0.20928061	0.44534618	0.1469422	0.0012516804	0.0054588737	0.036551315	0.0044271983
n	0.0014915596	0.0021889594	0.030435545	0.3017739	0.6002495	0.04885319	0.0018961234	0.0073591396	0.004988983	0.00076302316
n	0.00032404793	0.00047867393	0.047819782	0.39721423	0.49276242	0.04594581	0.0026766087	0.0046334867	0.0059527154	0.0021921496
e	0.0013804717	0.0006201554	0.004333474	0.3887655	0.2039747	0.05397132	0.12920503	0.118213564	0.06095849	0.038577374
f	0.0031943435	0.0025969136	0.010362626	0.11107747	0.5387336	0.18502662	0.028486205	0.09108886	0.02857379	0.00085953117
a	0.005077504	0.00032590234	0.0043642526	0.112947226	0.44661635	0.33913636	0.0063156732	0.013514013	0.068757586	0.0029451232
ì	0.008310869	0.009277471	0.0062949928	0.062232472	0.4081288	0.2837703	0.017775105	0.12116299	0.047282513	0.03576455
c	0.001829436	0.0011607307	0.0044539534	0.0016258311	0.3238658	0.63741404	0.0015176223	0.01826524	0.0077824662	0.0020847993
h	0.00017047478	0.0002337733	0.0014698873	0.011085971	0.56642306	0.4048985	0.0025428846	0.0063476856	0.0064037764	0.00042402715
a	0.0001159114	0.00042514308	0.00078739476	0.030701153	0.47464275	0.25482693	0.039352417	0.11009615	0.071092874	0.0179592
a	0.001664271	0.0013197591	0.005580498	0.0044930624	0.09400254	0.44169232	0.051317684	0.3447294	0.05357053	0.001629905
n	0.19236086	0.025828818	0.015881624	0.01281983	0.13748401	0.282884	0.008622909	0.18959254	0.05559749	0.078927934
o	0.08506912	0.0012523312	0.0012756181	0.008639952	0.10426087	0.5813588	0.021225933	0.08492407	0.10559978	0.0063935076
