 	lo	posso	finire	di	scrivere	</S>
o	0.96500856	0.024530493	0.0052749114	0.0026039977	0.00089807203	0.0016838924
s	0.0799397	0.05877785	0.061489373	0.11520943	0.36900854	0.31557512
ò	0.0017091522	0.98158616	0.006969472	0.0027131853	0.0018631131	0.0051589543
z	0.012950459	0.5223046	0.05172885	0.0727837	0.2107001	0.1295324
o	0.022196852	0.85969985	0.072009556	0.0106566325	0.013473043	0.021964129
s	0.034857437	0.59697723	0.34011507	0.006462155	0.0031265095	0.018461645
p	0.004269216	0.75956196	0.20581454	0.015678173	0.010406305	0.004269933
i	0.034370195	0.044380385	0.40175405	0.40561524	0.10545742	0.008422656
c	0.09121492	0.050030965	0.74228513	0.070459805	0.025268711	0.020740556
c	0.002345772	0.038724985	0.8101049	0.104766145	0.03333822	0.010719952
è	0.0027426858	0.007418339	0.7936256	0.17978498	0.012664949	0.0037635013
t	0.008342016	0.02950848	0.8969543	0.060444146	0.0023010878	0.0024499567
s	0.00010973968	0.000937831	0.14565687	0.49367183	0.33890712	0.02071662
i	0.001952528	0.004175471	0.15701218	0.199865	0.44903284	0.18796198
à	0.06308772	0.3123545	0.53072244	0.025961589	0.0140464185	0.0538274
t	0.028676176	0.7818975	0.17157999	0.0009939942	0.007695278	0.009157039
s	0.00045423192	0.0031317906	0.044462737	0.3756934	0.3241515	0.25210634
e	0.018599052	0.018018518	0.20380053	0.15231933	0.5203574	0.086905226
g	0.04393464	0.2304416	0.5868107	0.036045633	0.028565496	0.0742019
r	0.005151738	0.0029616659	0.022517763	0.45655912	0.21166654	0.30114323
à	0.006968916	0.016894236	0.38588363	0.15803683	0.24226582	0.18995053
t	0.021629104	0.1455036	0.5413198	0.1235131	0.043212254	0.12482217
s	0.0003548091	0.0009988343	0.008216166	0.117539115	0.8169327	0.055958398
i	0.011060446	0.012942267	0.10658701	0.058221065	0.5568396	0.25434962
</S>	0.03909404	0.23556454	0.38066444	0.040545795	0.09960778	0.20452344
