 	ho	finito	di	scrivere	</S>
s	0.9754842	0.017342212	0.0031278515	0.0025601375	0.0014856196
p	0.7473036	0.116729066	0.06497379	0.03597151	0.035022024
ì	0.257127	0.5044741	0.18841547	0.04463559	0.0053479024
c	0.027379783	0.96009934	0.012219507	0.00022283116	7.846458e-05
c	0.017909925	0.8022864	0.14843719	0.013477193	0.017889291
e	0.0024905794	0.302798	0.6872161	0.0065831766	0.0009120145
t	0.16149886	0.46138176	0.36701423	0.0045637544	0.005541393
s	0.0013638856	0.016892644	0.8206557	0.14789504	0.013192716
a	0.004506599	0.06695346	0.87278855	0.045747653	0.0100037595
à	0.19478658	0.6802751	0.0806762	0.023488147	0.020774074
t	0.51289845	0.22035061	0.0060071046	0.072818704	0.18792513
s	0.0030644408	0.0147520285	0.16367571	0.57823384	0.24027404
e	0.00859688	0.017888498	0.04428664	0.8154059	0.11382208
g	0.26966965	0.4926661	0.10411049	0.03578816	0.09776548
r	0.0038578298	0.007874005	0.19755782	0.4367896	0.35392073
à	0.029209448	0.2446066	0.19308029	0.25084108	0.2822626
t	0.15963678	0.4585526	0.18691097	0.056900263	0.13799943
s	0.0022124753	0.0071974	0.033418536	0.8363455	0.12082609
i	0.05551099	0.09442084	0.03843176	0.5316664	0.27997005
</S>	0.23457998	0.2797544	0.056041956	0.18697304	0.24265058
