 	mia	figlia	vuole	andare	</S>
i	0.9264982	0.011289883	0.04556588	0.0057854275	0.010860616
k	0.69564843	0.0064197467	0.047990266	0.13342063	0.116520904
i	0.009207014	0.3401452	0.5493677	0.08739889	0.013881232
a	0.069638304	0.65653265	0.16071695	0.08791147	0.025200624
t	0.046128713	0.76172835	0.034475643	0.08160162	0.07606568
è	0.0053481916	0.35602352	0.47609192	0.101563215	0.060973123
r	0.009128412	0.9028411	0.06246656	0.023215154	0.0023489052
a	0.0035212107	0.8967928	0.030374192	0.059479963	0.009831952
m	0.09730583	0.3787263	0.27172425	0.22400337	0.028240222
u	0.04054983	0.44547713	0.17519431	0.2835857	0.05519303
i	0.05397387	0.16753836	0.47061864	0.22604041	0.081828654
t	0.027876763	0.051332343	0.74085015	0.12605247	0.05388823
è	0.008288391	0.006613059	0.6784477	0.30500102	0.0016497815
l	0.004527909	0.01617542	0.7776024	0.1909537	0.010740567
i	0.0005961211	0.0030905115	0.36429802	0.60778874	0.024226606
n	0.056401327	0.13874283	0.35597512	0.4303411	0.018539673
a	0.0016291068	0.0011319912	0.018506607	0.97048616	0.0082461545
p	0.08333746	0.18514553	0.20744058	0.50061405	0.023462413
à	0.0059203017	0.0031316604	0.0043471064	0.9767721	0.009828795
i	0.018693758	0.05811453	0.23322682	0.6243462	0.06561876
</S>	0.07334425	0.23145515	0.11832028	0.087393336	0.48948693
