 	dove	aveva	per	stare	non	aveva	</S>
p	0.9862629	0.011939872	0.00028553433	0.000424348	8.85204e-05	0.000482549	0.00051630515
u	0.84428465	0.12126127	0.0024653971	0.0008577956	0.0003636017	0.006055586	0.024711566
ì	0.34204835	0.55519533	0.027006485	0.021082737	0.024329886	0.012714832	0.017622434
c	0.025388805	0.8764695	0.008289837	0.0037003306	0.017974349	0.007278941	0.06089822
h	0.0071652676	0.91653603	0.04554988	0.005614999	0.0035191018	0.013443214	0.008171536
e	0.005573157	0.683402	0.18430622	0.024159404	0.07397464	0.020037843	0.008546827
n	0.028868927	0.5844977	0.2535099	0.09933414	0.010053736	0.01968134	0.004054278
a	0.002605655	0.19448195	0.650069	0.030100852	0.020214977	0.08114444	0.021383055
s	0.047185402	0.085170895	0.23378712	0.50456744	0.031188553	0.08485356	0.0132470345
t	0.002468767	0.014588272	0.69562835	0.073066495	0.018088399	0.19017734	0.005982305
a	0.0003491218	0.003041394	0.66504896	0.13625468	0.10920873	0.055600498	0.030496681
s	0.013247631	0.040683214	0.14506434	0.5779376	0.06849134	0.13677742	0.017798457
ì	0.0018171995	0.004878086	0.17475681	0.14871722	0.09495178	0.5710054	0.0038735545
e	0.0027282625	0.016457193	0.021992449	0.60792136	0.16586964	0.18250942	0.0025216592
n	0.099771604	0.3317419	0.008504713	0.041004583	0.0023366916	0.5108069	0.0058335867
ì	0.0020224599	0.005742866	0.04034655	0.05036735	0.07798789	0.8090156	0.0145173315
c	0.008382778	0.038363215	0.0030726343	0.024969557	0.003717767	0.9163565	0.0051376056
h	0.0014691915	0.008882886	0.0013485069	0.009397398	0.08152972	0.8549336	0.042438604
e	0.00055550295	0.0032647275	0.0010116316	0.015960319	0.14954947	0.75802803	0.07163035
</S>	0.029986884	0.03840984	0.013167723	0.07779053	0.11563739	0.69286394	0.03214364
