 	ha	che	sono	usciti	</S>
è	0.9818009	0.0028161542	0.00142295	0.0115234	0.0024365254
n	0.92542064	0.016161578	0.0007418305	0.056645624	0.0010303904
a	0.84196806	0.101116076	0.017493531	0.018751478	0.020670751
g	0.04697488	0.18906516	0.098819405	0.6615471	0.0035934502
u	0.0055204076	0.50952965	0.39402047	0.041930556	0.04899886
ì	0.03952241	0.13932113	0.35589004	0.42679065	0.03847576
k	0.0135893095	0.024316527	0.22896954	0.6928929	0.0402317
a	0.0020849789	0.016506452	0.93232465	0.01600817	0.033075627
n	0.03874482	0.07226304	0.19174169	0.61682427	0.080426194
e	0.004893995	0.011760438	0.53454167	0.37274945	0.07605445
</S>	0.06890825	0.075272456	0.23482041	0.43851992	0.18247893
