 	se	si	era	vestito	il	mio	fratello	l'	avessi	portato	con	me	</S>
a	0.71510345	0.13868007	0.094278514	0.00692369	0.0018578926	0.0068207895	0.009707943	0.0019654236	0.0061589973	0.005702663	0.0026642312	0.006999151	0.0031372758
n	0.11478543	0.20091999	0.027164424	0.0011065304	0.0002457633	0.0007128467	0.0005094583	0.00037072046	0.0021429653	0.0034787145	0.00818127	0.09146066	0.5489212
ì	0.0018893806	0.08370917	0.87758726	0.0042680623	0.00044637185	0.0020111739	0.0006545879	0.0007151133	0.0052632513	0.0054252623	0.004781457	0.008604177	0.004644785
c	0.003571475	0.5434933	0.42191544	0.005162619	0.0026693607	0.0009782696	0.004725204	0.002032064	0.00093219837	0.00090436934	0.0009983323	0.008417117	0.004200251
h	0.0033725568	0.3695917	0.6110139	0.010672737	0.00073455303	0.00046341642	0.00020549119	0.0001481743	0.0014661745	0.001416177	0.00026475426	0.00012186904	0.0005285109
e	0.008385406	0.44348025	0.26786944	0.12075342	0.048599325	0.0069075823	0.0155410245	0.034732167	0.0022105905	0.002214433	0.0054642297	0.04298172	0.0008605082
n	0.012552591	0.048216544	0.49113894	0.33039832	0.04042471	0.016960613	0.02674429	0.009422501	0.009393484	0.006101688	0.0052416385	0.0032684084	0.00013623544
d	0.016654743	0.0074870065	0.7202066	0.12674075	0.025086058	0.0099611785	0.0034284503	0.010873135	0.021246124	0.030907035	0.018715901	0.0066427556	0.0020502117
i	0.08733881	0.0054940484	0.047872715	0.26448438	0.41526863	0.015326187	0.018737143	0.10525006	0.006811466	0.0057868836	0.006215123	0.016878199	0.004536454
s	0.064644665	0.052079767	0.027680386	0.43715551	0.23370093	0.045064233	0.07443585	0.022998083	0.020491157	0.0138477525	0.002875996	0.0038671994	0.0011585247
ò	0.020517148	0.0043784836	0.1836252	0.3063921	0.054086197	0.08064517	0.0068506002	0.0045174244	0.122364365	0.14557742	0.05660259	0.011830185	0.002613151
n	0.0032085015	0.003291194	0.0064512393	0.13339122	0.7706667	0.039944313	0.01742987	0.015585194	0.0045359307	0.003692364	0.0010083913	0.0006803364	0.000114658935
t	0.0018281238	0.0012020854	0.01102829	0.094968155	0.73462814	0.06822027	0.023586359	0.027729573	0.009089896	0.009874798	0.0035138328	0.008566456	0.0057640458
a	0.007947235	0.0016821113	0.0008764097	0.026843365	0.60267085	0.056275986	0.118163094	0.10079976	0.002324498	0.0010200653	0.0037855539	0.059046958	0.018564135
o	0.004991197	0.0052886824	0.0018510472	0.017502718	0.6193173	0.1179466	0.14939095	0.06589353	0.0054368894	0.0040001078	0.0050967555	0.0030418085	0.00024244463
a	0.13617627	0.036514238	0.016732741	0.0044763	0.15896025	0.20630473	0.2122621	0.14739136	0.0144376345	0.005769257	0.005333676	0.023810662	0.031830817
d	0.023439175	0.009920589	0.010567325	0.0009363321	0.024899444	0.2557591	0.43208608	0.09713461	0.02022933	0.00906166	0.011898548	0.033375733	0.07069204
e	0.057681568	0.004101059	0.00972138	0.00075033004	0.017328126	0.6028698	0.047658417	0.016566038	0.14970036	0.07727065	0.0068538385	0.007236635	0.0022618
r	0.0021247065	0.015042456	0.023610612	0.0015315993	0.0059902607	0.60187125	0.16145743	0.012129521	0.11982528	0.025586389	0.0060686255	0.007967391	0.016794488
f	0.047059808	0.00068563543	0.0014767669	0.00077386864	0.005095448	0.5136696	0.065444	0.037678592	0.21027592	0.09722225	0.014787732	0.0029171887	0.0029131852
ò	0.0012041712	0.0011811214	0.0010969798	0.00018988331	0.016314957	0.66161215	0.2027292	0.01860739	0.059377126	0.027215276	0.0063177664	0.0036466501	0.0005074829
m	0.00029897565	0.0003216154	0.00037777005	0.0003788627	0.007208909	0.2662049	0.42576212	0.24070443	0.03546008	0.01348161	0.0060258857	0.0037004896	7.433464e-05
m	0.00012551146	6.533544e-05	0.00022308253	4.508616e-05	0.0089616915	0.58921605	0.21815638	0.07501561	0.035775337	0.0076714773	0.006926327	0.054762423	0.0030557327
u	0.00014860915	0.00023650141	0.00021859656	8.531229e-05	0.0077428846	0.39959946	0.34364942	0.1212068	0.042898513	0.011571729	0.023082368	0.024282314	0.025277512
o	0.0023127592	0.0040101274	0.007766628	0.0039848024	0.010223521	0.1486532	0.1633181	0.14989941	0.26148507	0.09022689	0.104504585	0.051062535	0.002552434
n	0.0751213	0.0193439	0.0077345865	0.0036581117	0.0024533672	0.12087431	0.22285092	0.012026185	0.28618357	0.16991983	0.036746643	0.016660772	0.026426477
ì	0.02620033	0.0005725227	0.00083251245	0.00010595418	0.00021875759	0.10030373	0.048994824	0.010617222	0.48869738	0.2740278	0.04219945	0.0062452494	0.0009843116
c	0.0005064924	0.0017273588	0.0034368394	0.00021629475	0.00022810041	0.06671125	0.04423753	0.0046037952	0.525342	0.24852817	0.093336865	0.009763023	0.0013622681
h	0.00014469246	8.9994915e-05	0.0004148024	1.4539271e-05	0.00018668573	0.12855096	0.09579572	0.017811324	0.33310673	0.30851716	0.099754766	0.0143489055	0.0012636886
a	9.1374925e-05	0.0002868364	0.0004875605	7.100355e-05	0.0008577363	0.07958604	0.15940426	0.05029721	0.2800232	0.11202257	0.1693403	0.09727929	0.050252624
p	0.001955625	0.0011556566	0.002102538	0.0019080979	0.0035307896	0.017725244	0.064408444	0.016252048	0.103660345	0.28182074	0.44566244	0.05614546	0.0036725642
à	0.007586959	0.00014322408	0.00029875725	3.7786987e-05	0.00035895413	0.008593983	0.020444691	0.012425091	0.23595627	0.42498228	0.21770237	0.055548195	0.015921364
r	0.00012798689	0.0004428057	0.0011830741	0.00011151766	0.0004716826	0.0047292877	0.0027227523	0.0024574772	0.12652965	0.24554065	0.5395204	0.07525271	0.000910043
o	0.000116731455	0.00010466065	0.00052376813	2.5027788e-05	0.00016237723	0.013328062	0.014520526	0.008284927	0.1869571	0.1996166	0.28725827	0.2771669	0.011935036
n	0.00697714	0.018968066	0.010304486	0.026037155	0.05390878	0.020562747	0.015698154	0.11176841	0.041531812	0.09811913	0.37590277	0.19815676	0.022064565
t	0.004260427	0.00023408906	0.0003222976	4.298951e-05	0.00034576084	0.003957278	0.01268351	0.002433591	0.06149353	0.33509067	0.37049454	0.18558298	0.023058387
a	0.00019812779	0.0007261119	0.0015560329	9.3491435e-05	0.00056697475	0.014308803	0.013587717	0.002583672	0.031026693	0.10316958	0.31324166	0.33708316	0.181858
m	0.0057868715	0.0029042617	0.006549478	0.0033266023	0.011638615	0.033067547	0.045549836	0.03059851	0.032178015	0.061080903	0.49063435	0.25606307	0.02062185
a	0.03439136	0.0006525258	0.0002885757	0.0002917516	0.004030304	0.006439609	0.0290649	0.009825188	0.009462958	0.04328095	0.11683261	0.61630464	0.12913461
m	0.0029724247	0.0065101506	0.0040120557	0.0020939284	0.004671785	0.013022264	0.0067882887	0.010625969	0.016819099	0.023424186	0.19859782	0.70943743	0.0010246731
è	0.020028679	0.0005393505	0.00028332722	0.0002112268	0.0026021758	0.008142859	0.035016257	0.0050103343	0.00270532	0.012742963	0.053037133	0.7843872	0.07529319
n	0.0010340147	0.0012142018	0.0015568372	0.00047062588	0.0010341908	0.0020783253	0.001349855	0.0024955072	0.0076024705	0.020573972	0.16343094	0.79041237	0.0067466465
a	1.5662916e-05	4.610125e-05	0.00015129488	1.11580985e-05	3.0496822e-05	0.000371184	0.00017889497	0.00015400488	0.0034751159	0.012276046	0.07020574	0.8872057	0.02587853
</S>	0.015952121	0.025349986	0.028369281	0.032011922	0.044327367	0.036788106	0.047317483	0.09193892	0.04421202	0.07330104	0.31734145	0.22133256	0.021757733
