 	non	sapeva	dove	a	stare	</S>
e	0.96200824	0.025417097	0.003385211	0.0021227652	0.0024720768	0.0045947153
n	0.0056304582	0.08179282	0.00026790853	0.0027059738	0.01901565	0.89058715
ì	0.0022232465	0.96907455	0.015851762	0.003611462	0.0050055645	0.0042332984
s	0.0039661797	0.9494543	0.010266146	0.0050901067	0.008244156	0.022979172
s	0.0019465697	0.97200024	0.0068631317	0.0066367006	0.0065045846	0.0060488447
e	0.015186191	0.33531117	0.08676993	0.13484181	0.41445234	0.013438619
r	0.012442066	0.025066344	0.79231197	0.118114516	0.04736544	0.004699715
e	0.003930075	0.06883354	0.68944585	0.09424496	0.11084299	0.032702606
p	0.02044799	0.018139834	0.539074	0.25681683	0.13753416	0.027987149
u	0.0043070414	0.011795595	0.15339507	0.5403807	0.2705341	0.019587535
n	0.015373873	0.0074696606	0.03986896	0.4379586	0.46672833	0.03260065
a	0.0023655852	0.0051141735	0.027457818	0.5207433	0.42804772	0.01627142
s	0.0057877786	0.0043450217	0.0053681517	0.43957993	0.5328673	0.012051774
t	0.0043136105	0.009821838	0.015567595	0.23385234	0.72518456	0.011260041
a	0.003048887	0.004892156	0.0036528283	0.08327642	0.8962866	0.008843113
s	0.02340794	0.023504442	0.032215983	0.20738137	0.69576406	0.017726215
ì	0.0073465	0.023688743	0.031612154	0.12159112	0.8134111	0.0023503667
</S>	0.010057876	0.023387002	0.020203276	0.14489365	0.75773597	0.043722246
