 	le	ragazze	vogliono	guardate	</S>
t	0.9830344	0.005279172	0.0074871834	0.0017292975	0.0024699706
a	0.9605058	0.008507937	0.009966533	0.0067410986	0.014278665
k	0.94151205	0.01991781	0.030720431	0.0074986317	0.00035113
o	0.11794927	0.8029486	0.07615327	0.0017271788	0.0012216187
r	0.43530682	0.30074334	0.17949072	0.033128098	0.05133092
à	0.005360157	0.9464331	0.04603979	0.000935956	0.0012309375
s	0.027030012	0.923281	0.04730522	0.0009798583	0.0014039103
i	0.0055984515	0.9446644	0.018227555	0.011914762	0.019594846
a	0.08867253	0.4625212	0.39770907	0.033169195	0.017928122
t	0.050502047	0.07974951	0.6768276	0.09179879	0.10112211
è	0.014266202	0.052922152	0.9205438	0.008004224	0.0042636343
l	0.009287692	0.024527516	0.94414717	0.016224435	0.0058132033
o	0.0006438026	0.012112521	0.89680755	0.06302435	0.027411694
n	0.023051348	0.051375117	0.7441407	0.08929011	0.09214267
e	0.00288989	0.013855365	0.7266586	0.24917054	0.0074255187
k	0.0196388	0.041386794	0.78684795	0.091180384	0.06094597
a	0.0066418485	0.012827659	0.36827934	0.5991173	0.013133834
n	0.029630786	0.07824804	0.393018	0.46350086	0.03560236
o	0.0016995566	0.0060615106	0.022559142	0.9410653	0.028614514
n	0.024341704	0.09952368	0.30305254	0.5518142	0.021267906
i	0.0043504513	0.017969413	0.011126055	0.9114738	0.05508027
m	0.010339742	0.045174133	0.12953578	0.8074258	0.0075245393
m	0.0055400752	0.01134589	0.002833828	0.9328159	0.047464345
è	0.0658867	0.10782789	0.07308836	0.74248296	0.010714066
n	0.009873729	0.027268162	0.062553786	0.85676485	0.043539453
a	0.00066077436	0.0016309168	0.009350205	0.873495	0.11486315
</S>	0.054351453	0.14743073	0.3965733	0.3271917	0.074452825
