 	puoi	non	parlare	di	questo	con	Anna	</S>
i	0.99367225	0.0029641688	0.0003442783	0.00026603005	0.0007829997	0.00028785944	0.00038965105	0.0012927075
s	0.60792935	0.074279524	0.0048154406	0.008184961	0.008682991	0.005692458	0.01690831	0.2735069
ò	0.23908018	0.112190954	0.08487658	0.02576482	0.13170098	0.07305614	0.29938963	0.03394071
z	0.56147945	0.26623815	0.089990325	0.022343183	0.016069682	0.010266134	0.02002791	0.0135851465
i	0.07861157	0.5064161	0.2833682	0.016236182	0.020787902	0.012345762	0.07060499	0.011629333
m	0.104053915	0.039605454	0.6480271	0.014439083	0.11910469	0.05135136	0.022294668	0.0011236493
i	0.005123265	0.025827482	0.7992737	0.103721	0.016985424	0.018294448	0.025173277	0.005601372
m	0.18724085	0.03075679	0.30513322	0.030951656	0.2576071	0.09380351	0.059961002	0.034545835
i	0.0010862956	0.00936319	0.31574532	0.6184054	0.015864452	0.0074513224	0.028349258	0.0037347807
l	0.10001046	0.046294138	0.15357928	0.09410814	0.19323628	0.1275179	0.144588	0.1406658
ì	0.0013321951	0.0011153982	0.0137841245	0.09109308	0.52629185	0.08196951	0.28281647	0.0015974074
s	0.0045004208	0.0019891234	0.12186224	0.25573146	0.53444666	0.0594752	0.021212885	0.00078200107
i	0.0014646369	0.0048121177	0.1268191	0.6941633	0.11829175	0.021954013	0.02145089	0.011044157
a	0.013602315	0.020153489	0.0572196	0.01521127	0.5724697	0.25444105	0.06316489	0.0037375987
t	0.04190821	0.01603994	0.021388013	0.03490473	0.5760643	0.2336659	0.018385708	0.05764321
s	0.0011219372	0.0027765485	0.0011222861	0.0061333934	0.7360571	0.16767989	0.08442206	0.0006867689
è	0.0071562543	0.017609822	0.01948206	0.008185999	0.69640476	0.19236952	0.057882983	0.0009086381
t	0.00042624207	0.00095960277	0.00215371	0.0014686256	0.36944318	0.59688115	0.02835108	0.000316476
ù	0.0003499524	0.001402242	0.0023930226	0.008804676	0.45562556	0.4846775	0.04321453	0.0035326402
o	0.00071968994	0.0024927743	0.0036665336	0.003687906	0.10008963	0.79546803	0.0928492	0.0010262092
m	0.018445186	0.026699403	0.02310877	0.0023277095	0.13544801	0.65812916	0.11477618	0.021065604
e	0.0017926727	0.017008485	0.013591833	0.0087980805	0.067421705	0.82318604	0.042362783	0.025838353
t	0.008504702	0.0075544408	0.013318768	0.003839844	0.077604346	0.6743238	0.21258217	0.0022719512
i	0.00042509273	0.0056775436	0.0014132456	0.0069928076	0.01015257	0.21075965	0.74292177	0.021657443
n	0.0077786036	0.012676901	0.011023057	0.0040507475	0.0541224	0.26431835	0.6449289	0.001101058
A	0.00023100627	0.005091438	0.0007506535	0.004181398	0.0014571726	0.045075007	0.91920483	0.024008578
n	0.0004415595	0.0018317736	0.0012314124	0.00055882963	0.012264818	0.057767287	0.9218101	0.004094244
n	6.198241e-05	0.00015158468	9.704362e-05	0.0004059868	0.0032385334	0.049375545	0.9452191	0.0014502725
a	0.0027457967	0.024010658	0.01769519	0.017716441	0.024056898	0.4892371	0.337088	0.08745002
</S>	0.011792395	0.039719738	0.042370427	0.038700886	0.1348365	0.22073835	0.47436318	0.037478443
