 	non	ho	dove	d'	andare	</S>
e	0.9052838	0.07294029	0.005812788	0.007056492	0.0019462733	0.006960248
n	0.045796305	0.1139187	0.005051278	0.018164832	0.08288212	0.73418677
è	0.003938449	0.5798434	0.33390966	0.04312041	0.031525068	0.007663003
c	0.0040947106	0.80174255	0.08163502	0.063983455	0.035592888	0.012951418
h	0.003379632	0.62188935	0.2252038	0.030660804	0.10509494	0.013771403
o	0.003553153	0.1287844	0.82677287	0.0076847165	0.028779196	0.0044255946
p	0.0012724241	0.012507148	0.8222215	0.13722469	0.025540747	0.0012335222
u	0.020015724	0.01351305	0.69361407	0.07402124	0.17249781	0.026338127
è	0.011127174	0.05470407	0.065781064	0.7264446	0.10848399	0.033459146
n	0.0039663324	0.005413881	0.01673066	0.9332014	0.022857167	0.01783056
a	0.0023367826	0.0017178623	0.050567303	0.7482627	0.16882972	0.028285552
p	0.013200889	0.029894706	0.13819599	0.6967844	0.10637884	0.015545203
à	0.007881867	0.0011464239	0.0011818168	0.043604422	0.9328248	0.013360651
o	0.008578879	0.01836091	0.031421274	0.42092833	0.5051713	0.015539365
</S>	0.26512364	0.18454064	0.15695126	0.28253233	0.08380423	0.02704784
