 	non	aveva	dove	a	stare	</S>
e	0.9043726	0.08370237	0.003856544	0.0023337333	0.0026945493	0.0030401503
n	0.006425694	0.011414015	0.000545782	0.0036831873	0.012538987	0.96539235
ì	0.00198074	0.9646377	0.014863261	0.003995382	0.007653089	0.006869868
c	0.005529374	0.9071265	0.01056382	0.0059947507	0.012255975	0.05852949
h	0.00613017	0.8996822	0.01000812	0.018254451	0.027882444	0.038042553
e	0.007901319	0.35503006	0.45648637	0.025301687	0.06951863	0.08576186
p	0.0059943814	0.041951258	0.792946	0.108301945	0.044519376	0.0062870383
u	0.028514758	0.0325468	0.41170073	0.21454641	0.25950193	0.0531894
s	0.02276331	0.08018496	0.17668483	0.28929597	0.24142846	0.18964243
t	0.0034429263	0.006797623	0.07987044	0.43387488	0.4179617	0.05805245
a	0.011148852	0.0042115953	0.014862556	0.39589992	0.46682537	0.107051775
t	0.013852189	0.024536457	0.040929448	0.2454232	0.6300512	0.04520753
ì	0.0015782084	0.004268545	0.011362061	0.18715417	0.7924761	0.0031608844
</S>	0.0017818228	0.009515529	0.004127039	0.072309494	0.8993601	0.0129059795
