 	non	sono	andati	</S>
e	0.93180346	0.046049222	0.014968105	0.007179344
n	0.030897764	0.021987412	0.11676084	0.830354
è	0.0074319895	0.8320045	0.13764387	0.022919608
c	0.0071467697	0.9104995	0.05126422	0.031089453
h	0.0041591465	0.5665582	0.36771515	0.061567552
u	0.008287463	0.24359511	0.72852105	0.019596342
n	0.028727956	0.33919623	0.59693396	0.03514182
e	0.0022402655	0.0025900565	0.91373676	0.08143286
p	0.1631818	0.63157696	0.15950814	0.045733094
a	0.018090153	0.014241388	0.88320017	0.0844683
m	0.18729566	0.18502307	0.622016	0.00566527
è	0.1520513	0.016677478	0.7661044	0.06516682
n	0.04069919	0.3826795	0.53776187	0.038859475
a	0.03344307	0.097963735	0.77799493	0.090598285
</S>	0.15148565	0.54246664	0.18599294	0.12005476
