 	lo	ho	finito	di	fare	</S>
t	0.95975316	0.020503197	0.01414708	0.0024685925	0.0022204868	0.0009074821
o	0.84408265	0.025048772	0.007799805	0.016520653	0.039978385	0.06656973
s	0.026268585	0.123967916	0.521597	0.24736652	0.05078718	0.030012714
p	0.0036604665	0.9453567	0.024926305	0.0023608822	0.0133717945	0.010323954
ì	0.038535137	0.68765825	0.16500528	0.0746851	0.025038922	0.009077296
c	0.02618181	0.5568088	0.39706793	0.018242385	0.0013752901	0.00032387942
c	0.008601218	0.7161881	0.16525885	0.093395546	0.0055923173	0.010963912
e	0.008356597	0.17360047	0.24260768	0.55671185	0.016633093	0.0020902513
t	0.15582225	0.16810824	0.5808335	0.08317311	0.008068705	0.0039941994
s	0.002221904	0.018203473	0.2953656	0.5783547	0.07639404	0.029460322
a	0.00996116	0.010066494	0.19030263	0.7369632	0.024811141	0.027895419
a	0.26985487	0.19249544	0.3926079	0.092769034	0.044100035	0.00817261
t	0.09109087	0.28320855	0.24126644	0.08168894	0.2388637	0.063881494
s	0.0025761938	0.008975004	0.021298574	0.45048034	0.504884	0.011785927
è	0.027057642	0.09520279	0.55175626	0.2429214	0.06635367	0.016708255
k	0.05006089	0.20012012	0.5727589	0.11070291	0.043559343	0.022797838
à	0.00020191591	0.0006451085	0.0030209892	0.14469618	0.83090717	0.020528566
m	0.09933784	0.27355942	0.50851417	0.05702518	0.051193096	0.010370243
i	0.00079461455	0.0040703416	0.013903028	0.16272627	0.79680467	0.021701138
</S>	0.24881263	0.31525356	0.2844885	0.086208716	0.051456735	0.013779909
