 	vestito	il	mio	fratello	lo	avevo	portato	fuori	con	me	</S>
n	0.99046385	0.00021970773	0.0030332436	0.002133317	0.00013886002	0.00096262473	0.0011045698	0.00045779935	0.00020189646	0.00061350066	0.0006705851
d	0.929068	0.0033992806	0.00812018	0.0019421955	0.0009195961	0.00380068	0.0026015136	0.002995815	0.0010423084	0.0055644116	0.040546045
ì	0.753245	0.005398566	0.10484571	0.025179995	0.0013222552	0.022486862	0.02041005	0.021425685	0.010839283	0.027743362	0.007103167
s	0.1126244	0.14053074	0.4616528	0.07847891	0.009870962	0.08651022	0.04656569	0.05695437	0.0024554662	0.0036744527	0.000681925
o	0.07931563	0.67734605	0.09064689	0.010112283	0.011147352	0.02613768	0.021747686	0.052273057	0.013729093	0.004805567	0.012738615
n	0.026694234	0.27194268	0.22292303	0.35151997	0.015148914	0.04720034	0.012335545	0.044954646	0.0026616233	0.0023345305	0.0022844987
t	0.006643793	0.18598378	0.6527954	0.007010341	0.0010327914	0.04125124	0.037584744	0.052539166	0.010161993	0.00270012	0.0022967102
a	0.0021394992	0.9159291	0.043460846	0.011756266	0.0060663237	0.0044946726	0.0030195508	0.0065777614	0.0028350179	0.00326896	0.00045193484
o	0.012935431	0.48848823	0.39878255	0.05167753	0.009881998	0.01731687	0.008649763	0.010227829	0.00070263154	0.001120329	0.00021681897
n	0.0151265	0.12062791	0.6681908	0.07762555	0.06575505	0.008548829	0.0048272656	0.0035768794	0.0018184955	0.009940785	0.023961885
a	0.0019422077	0.005655509	0.8625238	0.059865106	0.0020283184	0.02274824	0.02846066	0.008458224	0.0040077223	0.002261236	0.0020489723
d	0.011768966	0.028811932	0.69529676	0.20170027	0.017780092	0.02121148	0.0041458635	0.005484154	0.00028229467	0.0016395526	0.011878613
e	0.0018563411	0.0031251027	0.723182	0.09979122	0.009753906	0.07009401	0.066976756	0.015125642	0.005776651	0.0018586493	0.002459724
r	0.0042128633	0.0071658534	0.72056866	0.14504622	0.02536167	0.05510611	0.0085095	0.01073513	0.0004212335	0.001593812	0.021278985
