 	nella	pasta	metti	sale	vuole	il	sale	</S>
s	0.9595989	0.033559475	0.0033191831	0.0019980005	0.00042167277	8.335509e-05	0.00040185908	0.00061753136
t	0.95266014	0.026382215	0.004664232	0.00314863	0.001886239	0.00030273682	0.0014674236	0.009488393
i	0.96679926	0.018756242	0.006606268	0.0031540843	0.0017685521	0.00058272545	0.0019464337	0.0003864629
p	0.86558306	0.11114979	0.011381765	0.0026352457	0.006151366	0.0016925957	0.0009702056	0.00043601374
à	0.048652265	0.11864959	0.34175164	0.32470444	0.057928655	0.0002028111	0.10287521	0.0052354033
s	0.21310379	0.5939247	0.15932076	0.0073941625	0.02196806	0.0015422608	0.0022625295	0.00048371276
t	0.048965227	0.425568	0.41565558	0.015650973	0.036494035	0.008244915	0.021795908	0.027625306
a	0.0055576772	0.20194207	0.25810945	0.0010668974	0.006657114	0.47055614	0.009391407	0.046719242
v	0.017195858	0.010109194	0.9049335	0.017231014	0.02440466	0.017251138	0.007920421	0.0009542409
à	0.00052806234	0.010531837	0.61641467	0.22095336	0.05304217	0.001065296	0.09428886	0.0031756887
l	0.0031988246	0.0022613483	0.9029832	0.056182925	0.028045395	0.0034162356	0.003600753	0.00031136148
e	0.00048376163	0.0007304656	0.8277367	0.10360475	0.034011804	0.008104299	0.016928652	0.008399481
à	0.012562543	0.008739782	0.117861554	0.4976528	0.1618891	0.06990695	0.105915226	0.025472047
l	0.0006806398	0.00045519017	0.007874028	0.90360683	0.06126989	0.0016464646	0.019372834	0.005094071
a	0.0002891835	0.00012000562	0.040405165	0.64053315	0.27391908	0.0030647316	0.036944035	0.004724716
e	0.0042352793	0.002601859	0.038621582	0.33032665	0.2903065	0.06318871	0.17830904	0.09241034
t	0.023973918	0.023801342	0.023781227	0.2550849	0.2258576	0.22959213	0.04380802	0.17410088
è	0.0052939104	0.0053251656	0.0063515725	0.17519	0.6486625	0.0058595343	0.15091185	0.00240542
l	0.0004947625	0.000328544	0.010946267	0.11252819	0.73544663	0.0114144115	0.11994008	0.008901179
i	3.4086053e-05	1.6995025e-05	0.0015569892	0.06617346	0.8119844	0.06305278	0.047856033	0.009325223
t	0.0014108863	0.0005494613	0.010742233	0.011055112	0.30335543	0.32654536	0.275749	0.070592545
à	0.0006087296	0.000675477	0.0014959131	0.009121793	0.43956164	0.064261265	0.4775277	0.006747527
l	6.89033e-05	9.203193e-05	0.0022978776	0.0025660226	0.22312634	0.061145134	0.70354635	0.0071574105
a	4.1083338e-05	2.430338e-05	0.0009406218	0.0019879409	0.30787995	0.3082572	0.34994432	0.030924607
</S>	0.0020478975	0.0007330048	0.011397919	0.0030308643	0.05989813	0.24623309	0.6512049	0.025454313
