 	la	casa	la	costruisce	il	mastro	</S>
o	0.97281104	0.020425376	0.0012268486	0.003875783	0.00014484614	0.00055295066	0.0009632702
s	0.5295968	0.15003239	0.0028258984	0.008726014	0.010322629	0.14528261	0.15321366
p	0.052066173	0.8915676	0.0053615733	0.032717172	0.00036719177	0.010255999	0.007664332
ì	0.061381523	0.78556734	0.053568587	0.0140060745	0.01582737	0.06459615	0.005052895
t	0.026141586	0.93821234	0.030433167	0.00038426695	0.0025919783	0.002099006	0.00013763655
i	0.012903883	0.79330015	0.11470383	0.0024032623	0.014632544	0.041373923	0.02068237
o	0.107749216	0.3066075	0.35054517	0.0045845862	0.110463396	0.090133056	0.02991712
f	0.03875258	0.061705485	0.4887606	0.24503152	0.032417085	0.04219226	0.09114041
a	0.0047358917	0.018103534	0.710437	0.25606695	0.0006902152	0.0072384994	0.002727915
b	0.085540935	0.06518378	0.6525839	0.021151401	0.045140933	0.035665542	0.094733395
b	0.0015190776	0.003652898	0.19802	0.7761224	0.0013574421	0.014014412	0.005313785
r	0.0051024216	0.007213008	0.8105412	0.1021517	0.03337535	0.029493514	0.012122723
i	0.0031902967	0.004453826	0.42933986	0.23535664	0.108517446	0.11300653	0.10613535
k	0.031330895	0.039860807	0.2224161	0.026649883	0.31169516	0.20464523	0.1634019
è	0.002147045	0.004178673	0.077057146	0.84796745	0.015370655	0.046473447	0.006805437
i	0.0162505	0.02674491	0.29495126	0.055064343	0.5064822	0.08405317	0.016453618
o	0.1109054	0.34156758	0.28170365	0.20645653	0.016979817	0.017711261	0.024675673
m	0.027425392	0.020852253	0.010831561	0.034092348	0.3179356	0.33852506	0.25033778
à	0.08039824	0.12416505	0.14078447	0.1338248	0.12044139	0.31393895	0.08644715
s	0.10495044	0.31356353	0.28985584	0.047436245	0.061969813	0.12584832	0.056375735
c	0.0013506275	0.0032834478	0.009635881	0.0030587534	0.105473675	0.8179547	0.059242945
i	0.0013765439	0.0026841406	0.01415737	0.0039791865	0.29881465	0.45349014	0.22549799
a	0.011956323	0.035098027	0.1650004	0.01101893	0.4050484	0.3129394	0.058938585
</S>	0.08314894	0.14670458	0.2333145	0.22395745	0.082396515	0.15524523	0.07523277
