 	e	che	cucino	</S>
c	0.9801206	0.00722617	0.006260418	0.0063928864
e	0.9841697	0.010072305	0.003968088	0.0017898593
p	0.92283064	0.061164904	0.015578388	0.00042610333
u	0.29277262	0.3471569	0.33835098	0.021719448
m	0.33763245	0.57174194	0.039729062	0.050896477
a	0.014025635	0.47652382	0.39577568	0.11367484
r	0.049303856	0.25278863	0.2786733	0.41923428
è	0.005118254	0.14649045	0.84740585	0.0009854013
o	0.007977074	0.23808184	0.7213541	0.032586943
</S>	0.21134679	0.35831705	0.41411838	0.016217727
