 	voglio	un	forno	che	vende	rustici	</S>
t	0.97982925	0.011148044	0.005056826	0.00045285886	0.0017837464	0.0002182968	0.0015109347
è	0.9870046	0.004474098	0.0016138965	0.00034217266	0.0003646159	0.000602854	0.005597638
l	0.9779799	0.019837655	0.001805773	7.58345e-05	0.00022668278	6.113268e-05	1.3214694e-05
o	0.9180196	0.06957558	0.005688155	0.0016274116	0.0029192455	0.0004643044	0.001705656
è	0.108730234	0.80699414	0.03860822	0.02151778	0.015459201	0.0058409306	0.0028494126
n	0.024720581	0.8469142	0.028578475	0.004528149	0.0064229616	0.037840024	0.050995592
a	0.0064815558	0.92056406	0.06117619	0.006310084	0.003733506	0.0006517114	0.0010828811
f	0.0448344	0.53069156	0.2340817	0.09547231	0.06550704	0.01727317	0.01213974
ù	0.0021310034	0.09023856	0.8551845	0.025290929	0.024444452	0.0009009719	0.0018095891
r	0.010213934	0.094813295	0.70880604	0.11822732	0.054017242	0.008207463	0.0057146493
n	0.0024370435	0.05101662	0.74949485	0.12505944	0.023862947	0.023688888	0.02444027
o	0.001056707	0.008446795	0.0931986	0.2421123	0.022101723	0.5122981	0.12078573
k	0.004682338	0.016222643	0.16346763	0.62000024	0.15074342	0.029871853	0.015011828
a	0.00065705314	0.0020971352	0.551847	0.311999	0.11597055	0.013567998	0.0038613402
p	0.008382728	0.013597611	0.07235042	0.71564204	0.09607391	0.03162097	0.062332347
u	0.0009306457	0.0012165571	0.12808996	0.49560627	0.3679841	0.0040692454	0.0021032894
l	0.037349164	0.022716705	0.07802466	0.5735092	0.17680934	0.067249596	0.044341244
ì	0.00047687066	0.0006345769	0.018318182	0.2988518	0.6617875	0.012439496	0.0074916002
r	0.0037359556	0.0027964795	0.017123066	0.6208979	0.31359583	0.034124218	0.0077266386
ù	0.0009859235	0.00053647324	0.0104884375	0.45442405	0.22598986	0.29030544	0.01726994
s	0.0011561136	0.00190842	0.0031178712	0.18892208	0.6215974	0.17399687	0.009301242
t	0.0005270249	0.00034490926	0.00299777	0.087739624	0.32986546	0.5586737	0.019851549
i	0.00026220188	0.00044529344	0.0007283157	0.06311347	0.18514752	0.66162074	0.08868248
k	0.0026891206	0.007681847	0.0063485825	0.07175065	0.3417787	0.54014415	0.029607004
u	9.050238e-05	0.00013402557	0.00032435055	0.0032371955	0.14754994	0.8015896	0.047074422
</S>	0.03154444	0.055887923	0.036238626	0.3467517	0.10276936	0.4144375	0.012370473
