 	dopo	Giovanni	é	tornato	a	casa	</S>
d	0.99097484	0.006448187	0.00023583585	0.00030450203	0.00033826477	0.0005009419	0.001197495
ò	0.96759975	0.017139465	0.00088291464	0.0012445529	0.0007936231	0.0023412777	0.009998433
p	0.9818143	0.016788382	0.0002926628	0.00061210437	0.00026648215	0.00021293032	1.2968163e-05
u	0.9609678	0.015115419	0.005694083	0.003699286	0.0024649678	0.0075847325	0.0044735544
o	0.19498362	0.45420712	0.109933436	0.07120329	0.11300795	0.022186788	0.034477856
G	0.021376582	0.9756645	0.00030882485	0.00033359684	0.000119330056	0.00017701826	0.0020202792
i	0.057341855	0.87567484	0.0038301926	0.03295279	0.0053942897	0.023383385	0.0014226264
o	0.013728182	0.57954395	0.085134044	0.020933311	0.019775275	0.0053086146	0.27557656
v	0.006075076	0.9881952	0.0014022285	0.0005781609	0.0004050591	0.00044520653	0.0028991909
à	0.0034581986	0.98179895	0.0034497792	0.0025156867	0.0012682178	0.0012457632	0.0062635294
n	0.0024788596	0.97551256	0.0041371435	0.0062499577	0.0067721377	0.0026797291	0.0021696247
n	0.0018583072	0.9149723	0.05379778	0.013439676	0.0062229084	0.006424803	0.0032841451
i	0.00056221295	0.12036061	0.6868944	0.016145222	0.044110954	0.035641015	0.09628569
j	0.0026423947	0.14319077	0.22068796	0.17152698	0.36623168	0.08169046	0.014029746
ù	0.00062798645	0.4017939	0.12570299	0.18721257	0.10149878	0.18044844	0.002715353
r	0.0010820599	0.03187824	0.07976438	0.527949	0.3014679	0.056279443	0.001579017
i	0.00027878032	0.100975156	0.21745314	0.4066271	0.13819256	0.12509352	0.011379671
s	0.0038793953	0.0023901027	0.028970236	0.41614226	0.36409298	0.1617566	0.022768406
e	0.00021357086	0.008453773	0.003499056	0.40846714	0.19256446	0.38583317	0.0009687549
è	0.0032638793	0.0024122128	0.03351905	0.23208459	0.43032497	0.27311218	0.025283102
s	0.0065842676	0.0041277884	0.008073547	0.26172706	0.35243854	0.3492634	0.017785408
s	0.00020120386	0.0003945556	0.00024259521	0.04452275	0.22733654	0.72369117	0.0036111833
u	9.9359066e-05	0.00019265262	0.009264898	0.16069712	0.34721205	0.4192093	0.06332459
</S>	0.002654612	0.0009888372	0.010301062	0.06623827	0.20124868	0.6821591	0.03640943
