 	forse	stanno	ancora	svegli	</S>
f	0.9949509	0.0027326634	0.00089370424	0.00058922946	0.00083348004
ò	0.9880712	0.0038515509	0.0010297744	0.0019614634	0.00508597
r	0.9576841	0.0388845	0.003238296	0.00017652746	1.6528851e-05
s	0.9366554	0.04934881	0.0045013363	0.0008921171	0.008602293
i	0.06409938	0.5312272	0.07984487	0.27918488	0.04564374
s	0.0055032885	0.82462156	0.1670378	0.0014096388	0.0014277188
t	0.11484445	0.8423697	0.009498714	0.015210789	0.01807639
è	0.0017728276	0.9566083	0.012839871	0.022099065	0.0066800425
o	0.0003395067	0.9598061	0.038858335	0.0006024116	0.00039365853
n	0.059275456	0.33250627	0.50230646	0.019607158	0.0863047
e	0.0064446954	0.20563717	0.04958699	0.72541595	0.012915127
a	0.0037349712	0.25380686	0.7276704	0.007362352	0.007425554
n	0.0058537032	0.006424478	0.04738186	0.9010232	0.039316848
k	0.0006373036	0.0019170677	0.013160869	0.9770731	0.0072117024
ò	0.01082127	0.44349262	0.46828225	0.06390809	0.013495798
r	0.0040651998	0.013842324	0.9068625	0.059578944	0.015651003
a	0.0002700995	0.0033409742	0.19636767	0.77743906	0.022582214
a	0.02555147	0.14906451	0.7827587	0.007828818	0.03479654
t	0.06052826	0.1506965	0.21434535	0.43480268	0.13962723
s	0.005896219	0.06350031	0.039714873	0.77063084	0.1202577
ù	0.020618442	0.21643059	0.6606395	0.029468939	0.07284248
n	0.099151365	0.10105464	0.44379058	0.07759837	0.278405
n	0.003583705	0.00727665	0.018695617	0.5965072	0.37393686
i	0.00091579667	0.012297605	0.056607593	0.06608304	0.8640959
t	0.06963239	0.19349022	0.49065483	0.17451964	0.07170297
i	0.00033097612	0.0007353506	0.00078056374	0.17422153	0.8239316
</S>	0.09619478	0.40429667	0.40875995	0.02438129	0.06636743
