 	sto	ancora	cucinando	</S>
s	0.99398464	0.0017708337	0.0010998561	0.0031446305
t	0.98836565	0.004821797	0.004512335	0.0023002715
e	0.991589	0.004389491	0.003628294	0.00039320323
a	0.9394368	0.055165775	0.005291069	0.000106442174
n	0.10364216	0.29789436	0.059037954	0.5394255
k	0.051536415	0.67533404	0.15382989	0.11929964
ò	0.11972504	0.7552621	0.108764336	0.016248595
r	0.010281616	0.9685061	0.020891469	0.00032079592
a	0.009842008	0.85854095	0.071484715	0.06013225
m	0.12756315	0.47840834	0.37182644	0.022202196
a	0.01142157	0.42615128	0.4875983	0.07482879
r	0.08768788	0.17990541	0.70141643	0.030990256
è	0.0008766756	0.006767692	0.9877893	0.0045663235
o	0.0072817337	0.022629328	0.9571691	0.012919854
n	0.03673066	0.11520394	0.8425828	0.0054826024
t	0.0026930165	0.0017871166	0.97286296	0.02265696
a	0.029221913	0.038959913	0.90644616	0.025372112
</S>	0.12956364	0.09044586	0.73499084	0.044999607
