 	Marisa	e	Nico	ee	non	hanno	mangiato	mai	</S>
M	0.9312471	0.045801427	0.0145813795	0.0022701824	4.999908e-05	0.0005461516	0.0006946079	0.0009657356	0.003843421
a	0.82288206	0.06494332	0.01576545	0.0015621767	0.0067408076	0.0022591434	0.0041537387	0.065423846	0.016269507
r	0.024099741	0.018808577	0.048919868	0.014990186	0.16085377	0.046453312	0.019446317	0.015795643	0.65063256
ì	0.15168242	0.8288798	0.015883414	0.0009843467	0.00015812484	0.00023933429	0.0001337024	0.0009737359	0.0010651987
s	0.0042863805	0.97974855	0.011648224	0.0027574247	0.0004737372	0.0006902752	0.00022741848	0.000103286744	6.485284e-05
a	0.022520963	0.9530698	0.015145519	0.0020352844	0.0028560043	0.002243452	0.0006603232	0.0005992425	0.00086935906
e	0.002316241	0.5887041	0.2159862	0.11491899	0.020587778	0.03547748	0.009135556	0.0026270763	0.01024663
N	0.045338836	0.038620368	0.8750926	0.012052691	0.010807311	0.0017459888	0.0016128935	0.00403909	0.010690176
ì	0.007825568	0.020526715	0.8937183	0.07084325	9.049587e-05	0.0030222407	0.0016478105	0.0018091495	0.00051636365
c	0.0006246593	0.06828188	0.68816704	0.19730581	0.021057095	0.01860244	0.003763163	0.0012499675	0.0009479453
h	0.0008184452	0.041518975	0.701213	0.20100926	0.0383384	0.010389212	0.003454957	0.0022746162	0.0009832007
o	3.099841e-05	0.0078231245	0.119648375	0.08861186	0.53917354	0.09964815	0.07407739	0.06874846	0.0022380594
e	0.00031972126	0.021626933	0.069465965	0.59828293	0.03517448	0.1919976	0.07156716	0.010830058	0.0007351559
e	0.035878845	0.10670157	0.14780508	0.39330956	0.06299089	0.0835951	0.05823679	0.03589005	0.07559217
e	0.100570716	0.042100802	0.08768565	0.16729859	0.068545915	0.11465965	0.09069185	0.06668229	0.26176453
n	0.07681422	0.022869492	0.05502968	0.093847886	0.11202037	0.21161607	0.09543773	0.07792554	0.25443903
è	0.06921764	0.06289831	0.045254074	0.34952953	0.017429996	0.3007669	0.04598687	0.08308428	0.025832351
c	0.0073113726	0.011981294	0.04456057	0.250689	0.008703471	0.4548918	0.15919222	0.0440195	0.01865076
h	0.0011894953	0.0008038357	0.01143659	0.21003093	0.039988387	0.58796334	0.10403769	0.04030842	0.0042412584
u	7.968846e-05	0.00036864373	0.0012361167	0.030566828	0.1937505	0.45282874	0.18583842	0.11659032	0.0187407
n	0.00038698848	0.0021383758	0.003586526	0.012167009	0.009618438	0.34662783	0.5108587	0.11246488	0.0021512192
f	0.0026669132	0.0012076114	0.0010596827	0.0046285703	0.055742662	0.53475505	0.15745194	0.21394767	0.028539836
a	0.00013190304	0.002921251	0.0009714913	0.00422067	0.04919702	0.5647235	0.20202184	0.09536705	0.080445305
m	0.00030317166	0.004540696	0.0043639285	0.014611253	0.025066745	0.18131295	0.6205041	0.13689072	0.012406519
è	0.0006029673	0.0048036566	0.00058900774	0.0017535622	0.11611255	0.3424419	0.27142856	0.21675295	0.045514867
n	0.00032697243	0.0006370101	0.0014631572	0.0018821699	0.000542365	0.0709486	0.75493324	0.16751154	0.0017549599
a	4.8900554e-05	0.00017631342	0.0006616279	0.0011756493	0.0019017975	0.1942001	0.6123183	0.18243551	0.0070818383
m	0.0039028872	0.0071777278	0.015945328	0.03537646	0.024370363	0.11190164	0.41418555	0.37365112	0.013488976
a	0.00016341446	0.0016944701	0.0003858435	0.0012214894	0.08266373	0.048552837	0.38255113	0.42665166	0.056115415
i	0.00415665	0.013080197	0.0125966	0.021473557	0.0051976047	0.06914965	0.24001148	0.6322942	0.0020401063
</S>	0.04817379	0.022634985	0.028491987	0.07355978	0.05877187	0.19381373	0.20265749	0.3481215	0.023774907
