 	lo	sentii	che	viene	</S>
t	0.9650962	0.0021213838	0.0050810715	0.024096262	0.003605001
o	0.78095967	0.03879974	0.024642078	0.0831765	0.07242198
n	0.0057701096	0.8780382	0.038037296	0.06934295	0.008811327
ì	0.011646138	0.0817993	0.22244836	0.6685586	0.015547602
k	0.015492497	0.88967884	0.0477413	0.046022855	0.0010644557
u	0.003374549	0.9356462	0.031792197	0.012564945	0.0166221
s	0.051352534	0.36261323	0.46703145	0.09443622	0.024566544
a	0.00028281682	0.14329357	0.7430769	0.11242812	0.00091855146
n	0.04999593	0.17387883	0.3995523	0.2380988	0.13847417
a	0.00024118705	0.009330231	0.3195167	0.6695339	0.0013779406
r	0.051200103	0.111335106	0.19738166	0.33185816	0.30822495
t	0.00011577248	0.0020420535	0.023299241	0.97068375	0.003859169
i	0.008019831	0.086296625	0.044507183	0.042505745	0.8186706
</S>	0.15421265	0.33374545	0.25075027	0.2330756	0.028216045
