 	non	mi	aspetti	non	vengo	</S>
m	0.6652972	0.33181962	0.0006341245	0.00058530935	0.0005282431	0.0011353841
ì	0.13505879	0.56654024	0.16425435	0.04147996	0.054055534	0.03861111
m	0.008721672	0.980626	0.004978386	0.00052197126	0.004736747	0.00041520133
e	0.043013286	0.48216838	0.33717066	0.040461693	0.085353695	0.011832406
m	0.096332915	0.45386195	0.108946815	0.036399208	0.25706205	0.04739695
ì	0.026669469	0.018253857	0.5849267	0.26680085	0.08681707	0.016532026
n	0.008971434	0.0806085	0.11399484	0.26222837	0.5221135	0.012083341
i	0.01855524	0.0095918905	0.19705668	0.53862363	0.201761	0.03441162
e	0.023639334	0.1046093	0.014089284	0.031150695	0.80943763	0.017073669
n	0.10397204	0.06639609	0.040514737	0.29879656	0.25099906	0.23932147
è	0.0047747404	0.006101671	0.00223823	0.07335823	0.89464515	0.018881908
r	0.016375205	0.02529548	0.005911676	0.008714532	0.9391561	0.0045469394
k	0.0010091661	0.00034728498	0.00036265867	0.0117030265	0.97136074	0.015217098
o	0.0889209	0.015023975	0.04929346	0.1863792	0.61865485	0.04172761
m	0.04719831	0.08076438	0.024888169	0.03660746	0.7926045	0.017937161
e	0.026374629	0.003424228	0.05063936	0.14797576	0.73208195	0.039504044
</S>	0.20702179	0.14524452	0.039049927	0.07575457	0.52763027	0.0052989665
