 	che	non	li	aspettiamo	</S>
n	0.9959193	0.0007447394	9.1894e-05	0.0009419956	0.0023021882
a	0.9481697	0.0054202424	0.00613356	0.007518805	0.032757666
m	0.38502976	0.081478156	0.30269805	0.1958714	0.034922663
i	0.18513925	0.06963849	0.30018428	0.21975832	0.22527966
t	0.02606457	0.0032882357	0.25386587	0.54561883	0.17116246
u	0.6952095	0.025699306	0.19671887	0.027314406	0.055057902
s	0.007758917	0.008566203	0.4068254	0.51674193	0.060107492
m	0.5465415	0.01565272	0.23224083	0.09044248	0.11512247
ì	0.1054269	0.066264786	0.12799565	0.6780717	0.02224093
n	0.031403877	0.011993022	0.32475963	0.55513746	0.07670602
o	0.0009228109	0.0068080034	0.36551195	0.6189879	0.0077693323
m	0.15328419	0.35588154	0.07213794	0.36700636	0.051689982
e	0.0003300583	0.0030606089	0.008911906	0.9536375	0.034059983
</S>	0.77521634	0.13734826	0.021843068	0.06348685	0.0021054503
