 	l'	ho	sentito	che	veniva	</S>
o	0.96584374	0.025709132	0.0016590595	0.0030353502	0.0028536047	0.00089907093
n	0.06977311	0.09767548	0.2584014	0.118758924	0.13490558	0.32048556
ì	0.01305434	0.7427244	0.023348058	0.041149504	0.115019225	0.06470442
k	0.0401709	0.08709795	0.78599876	0.045868754	0.008478887	0.032384787
u	0.013539368	0.0886786	0.8001632	0.05414614	0.021207271	0.02226543
s	0.047807958	0.024603302	0.4747134	0.32362756	0.10455895	0.024688888
a	0.0030220782	0.003200849	0.09166328	0.66844493	0.23287362	0.0007952641
k	0.038541995	0.023763813	0.19959101	0.3776988	0.26687118	0.0935332
a	0.0007223607	0.0006320583	0.007983065	0.50218606	0.4876482	0.0008282202
è	0.023897002	0.03314845	0.10122145	0.16471563	0.5256037	0.1514138
r	0.00017455996	0.002001438	0.0005334087	0.005990276	0.9858116	0.005488652
k	6.509367e-05	0.00025079635	0.00067561044	0.005598471	0.9865486	0.006861464
a	0.0015296958	0.004461346	0.0054724407	0.056235634	0.7815244	0.1507765
t	0.002294338	0.010291142	0.022982782	0.021898082	0.91589737	0.026636245
o	0.0008255908	0.00051632704	0.0025666226	0.002919441	0.92123944	0.07193265
</S>	0.010469491	0.09963189	0.037365556	0.23558421	0.6058017	0.011147176
