 	volevo	Maria	domani	di	venire	da	me	</S>
ì	0.9805322	0.009388973	0.006596128	0.00024356626	0.00041578867	0.00041407524	0.0006999435	0.001709299
t	0.97167003	0.024585279	0.0036597927	8.095546e-06	9.071901e-06	1.3161037e-05	4.55208e-05	9.001466e-06
e	0.9740094	0.017268555	0.0065205414	5.648714e-05	0.00035912794	0.0005085535	0.0004186955	0.00085861265
l	0.8484945	0.04020813	0.018253108	0.014067896	0.024703072	0.026175909	0.022575151	0.005522207
a	0.25256193	0.65912604	0.07430386	0.00056459196	0.0023320613	0.004360755	0.004534546	0.0022161829
e	0.45455575	0.31306848	0.043979663	0.024461437	0.06430205	0.04624146	0.025681028	0.027710142
M	0.005635669	0.8985485	0.09294342	0.00045583205	0.0002461674	0.00021773664	0.0002771522	0.0016754755
a	0.0134215485	0.8401912	0.07179469	0.023269951	0.013902064	0.016590828	0.017640969	0.0031887821
r	0.031033216	0.16367808	0.05339247	0.043574218	0.061676823	0.09054345	0.07175207	0.4843496
ì	0.0024167218	0.58816785	0.32204437	0.020773932	0.019249838	0.021491362	0.025486546	0.0003693401
a	0.007171089	0.57519585	0.13070042	0.17489174	0.06808093	0.034419633	0.008689369	0.00085095904
à	0.09071302	0.13553342	0.51968414	0.060107768	0.14309196	0.033161134	0.008608115	0.009100495
v	0.00268879	0.045265153	0.89264745	0.029622344	0.011656487	0.0036487835	0.0030111957	0.011459693
v	0.0034164377	0.12725213	0.8263674	0.014039745	0.020355532	0.00260328	0.00429784	0.0016676768
r	0.0024059967	0.033637576	0.06319517	0.34043664	0.15520851	0.22520596	0.15598258	0.023927527
i	7.1295464e-05	0.0018268006	0.01917889	0.58737904	0.03848007	0.043252226	0.21502046	0.09479121
n	0.002422054	0.00019186657	0.0016566603	0.26762667	0.53214175	0.13802648	0.05106095	0.006873618
a	0.00032522416	0.0161982	0.68466496	0.09139284	0.08124458	0.046311658	0.0746204	0.005242234
r	0.00559508	0.00047732727	0.0011526478	0.089009985	0.5007349	0.2870922	0.0724102	0.043527655
t	0.00079443364	0.0077728536	0.270232	0.029299315	0.24056405	0.28550085	0.15736558	0.008470921
i	0.00068343873	0.0006958651	0.004069936	0.044621784	0.2692218	0.24827102	0.29869917	0.13373701
s	0.005596327	0.00052033603	0.00062613573	0.0534487	0.3914637	0.31244388	0.21143001	0.02447092
e	0.0002599093	0.002147855	0.027304297	0.0034496975	0.08249237	0.38124773	0.46881762	0.03428051
m	0.004822559	0.0013573236	0.0011818347	0.029803779	0.10315256	0.44908175	0.39652494	0.014075274
è	0.00084263936	0.00186597	0.0032746748	0.018482892	0.09628969	0.16295333	0.6810474	0.035243426
n	0.0027470705	0.0012125558	0.00092401425	0.019471217	0.041077428	0.268477	0.66210467	0.00398603
a	0.00018601205	7.821797e-05	9.469286e-05	0.0014140083	0.012412506	0.1035357	0.8722901	0.009988673
</S>	0.054841496	0.004767909	0.0026426492	0.23314016	0.14549862	0.2721848	0.27614972	0.010774664
