 	le	migliori	canzoni	le	puoi	scrivere	la	notte	</S>
a	0.9480945	0.047799625	0.0022241953	0.0003933137	0.00024271978	3.5374287e-05	0.00021554	0.0002993624	0.0006954728
k	0.9583932	0.015780434	0.0004348417	0.0018995985	0.00043409216	0.0021906905	0.0010877498	0.012024463	0.0077548306
à	0.08282933	0.8639954	0.015062642	0.0045631244	0.0027738768	0.00022037614	0.0016226546	0.0060068723	0.022925714
j	0.11262099	0.79415727	0.009715067	0.0023158044	0.0007814257	0.061700054	0.0013284413	0.006183045	0.0111978315
o	0.017039435	0.6846143	0.25231332	0.006274063	0.006914755	0.0045516416	0.0025761463	0.019301867	0.0064144772
t	0.03471728	0.11187414	0.72022647	0.04023754	0.016030371	0.028632622	0.0054643713	0.005816801	0.037000407
r	0.005591126	0.084672436	0.8837471	0.009155868	0.0015369016	0.00024174785	0.0010922726	0.013448964	0.0005136123
a	0.008273212	0.043528713	0.82054174	0.031042557	0.004792007	0.034758884	0.006029472	0.04863132	0.0024021913
ù	0.009311198	0.0119158095	0.9164167	0.052435316	0.002071781	0.0055721607	0.0004969165	0.001331158	0.0004490476
d	0.0077503216	0.011450708	0.60746366	0.1247221	0.1481538	0.019174557	0.02284331	0.024038836	0.034402702
i	0.0019151951	0.0042412505	0.5138621	0.33290136	0.114085004	0.001773032	0.0038167578	0.026619816	0.0007855202
a	0.0029643553	0.0035748016	0.10518984	0.5869279	0.23861851	0.00961164	0.022568548	0.017112702	0.013431665
a	0.013911151	0.03465908	0.037888754	0.25145647	0.29214555	0.14128664	0.028335504	0.04812327	0.15219355
s	0.004745106	0.009890183	0.005389508	0.06507957	0.47293302	0.0995881	0.042743605	0.04494643	0.25468445
ò	0.08469138	0.08583941	0.038823754	0.23891468	0.18341687	0.17030118	0.031835657	0.12632856	0.039848536
z	0.0039398484	0.0066532083	0.031487484	0.05357277	0.6385511	0.05205558	0.110062525	0.06861488	0.035062492
i	6.858312e-05	0.00019480895	0.0036286525	0.03413537	0.5332576	0.07941697	0.15964572	0.18199062	0.0076616933
g	0.0010548041	0.001954389	0.014888259	0.07304377	0.27275378	0.0059729097	0.35958394	0.24240781	0.028340328
r	0.004359554	0.0031906604	0.003277611	0.024536949	0.24526557	0.023130277	0.3335611	0.3582918	0.0043864804
à	0.0009327702	0.0013698039	0.0025811016	0.006628811	0.105996005	0.081975944	0.38846084	0.39533493	0.01671978
t	4.146983e-05	9.923241e-05	0.00091479236	0.0010769096	0.019939292	0.009138328	0.70112187	0.264721	0.0029471326
s	1.3182893e-05	3.7077032e-05	0.00019260358	0.0005450766	0.009797354	0.14515519	0.39854783	0.4398319	0.0058797104
i	1.7717577e-05	4.7553942e-05	0.00034439683	0.0008551265	0.011253587	0.06688524	0.53773206	0.15463601	0.22822835
i	0.0006657146	0.001105386	0.011384617	0.027882285	0.09091721	0.01209308	0.38836724	0.45051152	0.017072951
n	0.012043694	0.018385714	0.08065096	0.037849303	0.24979484	0.030049145	0.26496905	0.22533627	0.08092102
ì	0.00037352537	0.00018246452	0.00017242492	0.00031172033	0.00095279544	0.001541453	0.083032824	0.9059973	0.007435471
t	0.0002870312	0.00067296624	0.0010250702	0.003913836	0.008138172	0.00023743584	0.059805475	0.92432195	0.0015980394
t	8.573662e-06	2.9350023e-05	6.504338e-05	9.059725e-05	0.0003426047	0.0007561801	0.02599796	0.9713144	0.0013954137
a	8.568384e-05	0.00020193962	0.00065077527	0.0020968183	0.00985212	0.025455529	0.15451601	0.77882665	0.028314512
</S>	0.0009617206	0.0014538273	0.011684844	0.043643594	0.13979082	0.1276288	0.23052907	0.36075157	0.08355576
