 	tutto	il	cibo	vuole	girato	</S>
ò	0.9936773	0.00034511733	0.0010444844	0.0016942066	0.0010980743	0.0021408263
l	0.999188	0.00011146916	0.0001929386	0.00041141533	5.676882e-05	3.9259732e-05
o	0.9565378	0.0039485847	0.020020582	0.01762456	0.00077796716	0.0010904913
o	0.035252586	0.1302858	0.5736338	0.24861205	0.009868461	0.0023472633
m	0.072693266	0.3120139	0.35929793	0.08571815	0.0803592	0.08991747
a	0.009802009	0.55341655	0.34967393	0.07264585	0.007923895	0.0065377895
r	0.01330625	0.05540037	0.45267034	0.21121188	0.11339764	0.15401354
ì	0.0021085974	0.009244717	0.89584756	0.091055036	0.0010207052	0.0007234599
o	0.0004461207	0.111517556	0.8145938	0.0709162	0.0017046804	0.0008216559
t	0.012695799	0.010167633	0.25072488	0.70394325	0.0031686826	0.019299727
è	0.008044086	0.0012587467	0.12565272	0.8317448	0.027653482	0.005646061
l	0.0027184014	0.0011770313	0.06087955	0.9155359	0.01346508	0.0062239873
i	0.00047407678	0.00070193986	0.051406372	0.6487514	0.26366678	0.03499948
v	0.009313122	0.03147111	0.14608917	0.72098714	0.046919093	0.045220356
o	0.001119381	0.0017301042	0.006855896	0.59032345	0.37762868	0.022342512
t	0.014391092	0.045594174	0.21757798	0.42470542	0.27522907	0.022502262
i	0.002940027	0.0013820223	0.01124825	0.43527263	0.41736767	0.13178942
m	0.005123414	0.014782122	0.060461678	0.29260358	0.6090969	0.017932361
m	0.00019851829	0.009005784	0.0021167996	0.0046808315	0.9426099	0.041388135
è	0.009726398	0.03240437	0.06490524	0.109902315	0.76038414	0.022677496
n	0.01729117	0.02287514	0.023580683	0.10297382	0.7578884	0.07539077
o	6.104849e-05	0.000117702795	0.00037817808	0.008370698	0.94152457	0.04954778
</S>	0.050987333	0.20439015	0.1647431	0.23678829	0.32148123	0.021609882
