 	non	ci	dimentichiamo	mai	</S>
e	0.9850278	0.0060509765	0.0003278585	0.0015146352	0.007078729
n	0.02236737	0.22087805	0.010264443	0.024427122	0.722063
è	0.0149682155	0.90439165	0.0022684152	0.067594	0.010777859
n	0.0060713487	0.97314	0.006299125	0.008754347	0.0057351557
a	0.0028186871	0.9762788	0.0015858805	0.015625548	0.0036912092
a	0.023272227	0.9196143	0.0070262523	0.0491011	0.0009861002
l	0.020566197	0.15306248	0.15666685	0.05948127	0.6102231
l	0.048273284	0.5791695	0.10329964	0.14540866	0.12384896
i	0.078855105	0.5405131	0.16629347	0.19816335	0.016175007
m	0.18947898	0.16371861	0.1986109	0.3670678	0.08112367
o	0.010714468	0.014894626	0.78373176	0.1609067	0.029752493
n	0.042958498	0.177943	0.029737106	0.687549	0.06181238
i	0.0046695517	0.003223884	0.043391846	0.94111395	0.007600737
s	0.020105666	0.031647306	0.037850626	0.88369143	0.02670499
t	0.0031958162	0.00440191	0.0074306685	0.9695602	0.015411445
ù	0.0040818774	0.0041847364	0.017977793	0.94551146	0.028244136
m	0.0005321892	0.0029915469	0.0048718345	0.98339325	0.008211274
e	0.00014501651	0.0001086427	0.00388623	0.9896325	0.0062275254
s	0.05937701	0.16517626	0.23559558	0.5304893	0.009361796
t	0.0007362088	0.0004318233	0.0020308068	0.95749706	0.039304126
a	0.0031761497	0.0055526504	0.0073547475	0.8883771	0.09553932
m	0.031339392	0.049107302	0.115239404	0.76299465	0.041319203
à	0.017614057	0.0026618203	0.06875892	0.7065732	0.20439196
i	0.020267	0.2910754	0.036468964	0.6368066	0.015382051
</S>	0.13390236	0.21876019	0.1427743	0.35424757	0.1503156
