 	stava	ancora	cucinando	</S>
ì	0.98867726	0.0030285923	0.001976404	0.0063176868
s	0.9998778	7.310282e-05	4.317322e-05	5.9581394e-06
t	0.98836833	0.0050543533	0.005704471	0.00087282975
i	0.8877963	0.039639525	0.0574011	0.015163083
g	0.8478694	0.13252813	0.019196019	0.00040637224
g	0.8475415	0.031105785	0.11317183	0.008180848
h	0.5600499	0.1729839	0.15286545	0.11410078
e	0.48483312	0.1346892	0.17397444	0.2065032
a	0.20640807	0.71622396	0.074359216	0.0030088138
n	0.15393676	0.72366834	0.047958925	0.07443593
k	0.008697652	0.7418331	0.22150238	0.02796676
ò	0.02995201	0.82226455	0.10104749	0.046735894
r	0.0045145787	0.90545875	0.08720784	0.0028188739
a	0.0041863685	0.70435184	0.18180108	0.109660685
m	0.102038585	0.23848939	0.6298537	0.029618355
a	0.001861612	0.24385267	0.64748853	0.106797226
r	0.02201504	0.12958679	0.8443281	0.0040700566
è	0.00019912141	0.00507702	0.98329836	0.01142554
o	0.0034588282	0.012619374	0.9794006	0.004521264
n	0.082877345	0.12582023	0.78109926	0.010203108
t	0.0007724394	0.0029358182	0.96961504	0.026676748
a	0.010030551	0.020823583	0.9589364	0.01020944
</S>	0.078041516	0.056181025	0.789197	0.076580465
