 	non	ho	cosa	a	fare	</S>
e	0.8811108	0.09079811	0.00092402636	0.0054066377	0.012145287	0.0096152015
n	0.0007352775	0.0153126	0.0026080357	0.004956371	0.22400086	0.75238687
è	0.010018122	0.56266993	0.009778856	0.06851207	0.26454827	0.0844728
c	0.007979154	0.60363245	0.05139333	0.06189531	0.14172572	0.13337404
h	0.0043467996	0.6450927	0.13203472	0.064720005	0.040709328	0.11309638
o	0.0017929801	0.010887702	0.899219	0.028875384	0.052550487	0.0066745076
t	0.008463521	0.08092864	0.090975545	0.6825662	0.103096895	0.03396923
i	0.008611984	0.010766525	0.108521014	0.2302697	0.55471927	0.08711152
k	0.06483944	0.275596	0.07095144	0.45612848	0.058471743	0.07401289
à	0.0016745533	0.0024186138	0.0046597864	0.22996217	0.72186095	0.039423957
i	0.008184021	0.059386853	0.018037759	0.67842776	0.22127287	0.014690657
</S>	0.20931944	0.57910097	0.07831512	0.12095972	0.006658581	0.005646087
