 	viene	fabbricato	</S>
è	0.98264104	0.01312755	0.0042314846
r	0.9978951	0.0018719751	0.00023292897
k	0.8953172	0.08854146	0.016141286
e	0.061878588	0.7367247	0.20139669
t	0.08339307	0.90924114	0.0073657385
e	0.036817387	0.9200278	0.043154866
f	0.032944415	0.915035	0.052020565
a	0.00086974446	0.9804504	0.018679865
b	0.009535906	0.77485645	0.21560769
b	0.0033582954	0.9664511	0.03019064
r	0.0016040261	0.7521724	0.24622357
i	0.003945254	0.31347564	0.6825791
k	0.017516147	0.8433654	0.13911842
à	0.0075666336	0.92306966	0.0693636
t	0.03643686	0.9057716	0.0577915
o	0.00547898	0.5917747	0.40274635
</S>	0.3032733	0.5951193	0.10160737
