 	non	avete	mangiato	mai	un	rustico	</S>
e	0.95540744	0.034952667	0.002348916	0.00088767963	0.0010344672	0.0007618123	0.004606965
n	0.0431427	0.20220722	0.00885113	0.005190979	0.0098983785	0.026725495	0.7039841
è	0.013761027	0.70975506	0.160039	0.02443609	0.024672741	0.058252994	0.009082988
c	0.0069251186	0.9323278	0.031079963	0.0074369586	0.0073403534	0.010232325	0.0046574506
h	0.0025923455	0.9244444	0.057415713	0.0036170597	0.0033255406	0.0063907127	0.0022140837
e	0.0042172903	0.6305412	0.25882086	0.036556415	0.007265112	0.06097117	0.0016279886
t	0.0020990423	0.030810291	0.82004607	0.057173174	0.08643502	0.0031719874	0.00026446857
e	0.005679183	0.03536025	0.7623244	0.08233981	0.019428402	0.084711194	0.010156777
f	0.013692273	0.07201218	0.66952276	0.12059258	0.10524002	0.012544817	0.006395384
a	0.0021333531	0.0042439583	0.5811002	0.24787247	0.039540052	0.10874763	0.016362237
m	0.014925114	0.051764637	0.446483	0.3295137	0.09276047	0.008145895	0.056407183
è	0.030887872	0.016769255	0.1991267	0.6274711	0.024005929	0.0771744	0.024564857
n	0.0009629386	0.0053187627	0.08319147	0.7809081	0.1235361	0.0043710284	0.001711509
a	0.0011059914	0.0025444776	0.10734895	0.8300483	0.04252748	0.010249718	0.006175005
m	0.007222527	0.009451144	0.034758657	0.46309555	0.44996256	0.032830343	0.0026791946
à	0.008944914	0.0039672493	0.011234328	0.84386414	0.054462507	0.0670859	0.010441052
i	0.0010016848	0.0028792575	0.0068759257	0.19790982	0.7761721	0.01469486	0.00046637366
è	0.028873272	0.045042753	0.057932008	0.05629396	0.7835887	0.01313525	0.015133971
n	0.06581463	0.04115382	0.03047921	0.024361879	0.75625527	0.014202665	0.067732535
a	0.00057755853	0.0006487834	0.0014478456	0.017382799	0.89763	0.07432085	0.007992134
n	0.014263441	0.048891526	0.06310564	0.12870629	0.67939526	0.020110944	0.045526847
r	0.0019312918	0.00096335093	0.00069734344	0.0053237122	0.07670296	0.8922167	0.022164658
ù	0.003438732	0.0054546734	0.0108183	0.043319836	0.7369522	0.14667279	0.05334349
s	0.0021323222	0.0033402846	0.008584281	0.022712223	0.52588785	0.4142383	0.023104709
t	0.0004840599	0.00033070706	0.0005579956	0.004967847	0.15413322	0.7570405	0.08248571
i	0.012873292	0.008936176	0.009411173	0.023693398	0.17030703	0.24984308	0.52493584
k	0.02404805	0.03698645	0.10653047	0.16336589	0.50009865	0.1470572	0.021913266
o	0.0015438385	0.00029882786	0.00023433514	0.0010956773	0.0040548975	0.61961496	0.37315747
</S>	0.043541223	0.10122629	0.10801652	0.1265692	0.20627233	0.40889782	0.0054766685
