 	ogni	giorno	bisogna	che	compriamo	il	pane	</S>
k	0.9825499	0.009416066	0.005317465	0.0006317429	0.0008917763	4.0855462e-05	0.00013345573	0.0010187343
u	0.94219214	0.022026544	0.0023604184	0.0005015234	0.0037705728	0.00023805122	0.002652321	0.026258463
à	0.9236839	0.049014125	0.004431634	0.0045715463	0.008309647	0.002111368	0.006548956	0.001328864
i	0.10705518	0.8421526	0.03072753	0.0021172955	0.0047590923	0.0012972438	0.007277832	0.0046131676
m	0.04082174	0.79254645	0.04992157	0.0050468007	0.0061702444	0.021994498	0.047552504	0.035946187
è	0.007072417	0.873876	0.0995312	0.0076693413	0.0007841404	0.00066853064	0.0045867995	0.0058115837
r	0.015032443	0.37096408	0.5420465	0.04103706	0.0010559242	0.0030289816	0.025796076	0.0010389907
i	0.003404484	0.4722292	0.45090282	0.012375601	0.0026461403	0.0023169494	0.0458974	0.010227364
n	0.014560767	0.055017125	0.78786904	0.105716825	0.0020324602	0.005210124	0.024626967	0.004966725
g	0.0012473703	0.007775449	0.9328458	0.05382555	0.0008575745	0.00011818776	0.0015441442	0.0017859015
h	0.009587096	0.033683106	0.75484365	0.07120166	0.060432486	0.020044444	0.045252282	0.00495534
ì	0.007023855	0.028572949	0.7194383	0.0972177	0.059118383	0.022682458	0.05118792	0.014758441
z	0.0012192683	0.0023886599	0.56549317	0.41395864	0.01031272	0.0017386572	0.004710872	0.0001780081
i	0.00011858421	0.0021118512	0.44932985	0.06680472	0.36023533	0.05804679	0.055750217	0.007602711
n	0.0054688994	0.03487328	0.12698461	0.7574803	0.002930981	0.021552846	0.037049077	0.01366005
a	0.0012203737	0.0016170979	0.17411801	0.6741575	0.089510165	0.00850284	0.044072878	0.0068012075
v	0.0062732515	0.028334673	0.031059617	0.85291123	0.0020532843	0.023687527	0.017180905	0.038499504
o	0.0049452567	0.004243411	0.02864483	0.83001584	0.05621706	0.028397992	0.040294588	0.007241028
r	0.014810553	0.09134996	0.054271735	0.47561392	0.009399229	0.04996813	0.26475057	0.03983588
à	0.0059188027	0.01287415	0.049268447	0.5243164	0.07921411	0.082610205	0.18074125	0.06505665
s	0.004100971	0.020537842	0.027461132	0.62949115	0.009081987	0.11666558	0.17224436	0.020417016
o	0.00026646283	0.0016700496	0.0068473658	0.27587846	0.031174893	0.39131603	0.2629658	0.029880866
m	0.01752432	0.119400635	0.0942896	0.39048666	0.0022357109	0.097807996	0.2099479	0.0683071
e	5.1351537e-05	0.00044783053	0.0017975308	0.0027624147	0.036334068	0.15115385	0.79450375	0.01294919
o	0.029308582	0.10620338	0.0842647	0.34878933	0.0024609766	0.007983069	0.41319448	0.007795589
t	0.0017403864	0.019996805	0.040315382	0.016591275	0.02292593	0.031741936	0.8310524	0.035635818
s	0.0050828983	0.006306256	0.028069101	0.014153136	0.01075108	0.029712282	0.8915679	0.0143574225
o	0.00036621175	0.0018888334	0.007313741	0.010329556	0.003038486	0.0073754312	0.9685581	0.0011296564
m	0.0034219655	0.07614742	0.060711406	0.092575826	0.01866718	0.046339266	0.6974867	0.004650259
ì	0.00017523915	0.0004947302	0.00061116874	0.00038378956	0.009424882	0.013606081	0.97317696	0.0021272372
</S>	0.0056826645	0.0074625406	0.020587167	0.07167725	0.017027123	0.01697409	0.7824428	0.07814633
