 	tu	quante	bottiglie	hai	rotto	dieci	</S>
e	0.9551001	0.038127877	0.003386193	0.00062432286	0.00037869622	0.0015206933	0.00086215156
s	0.5786659	0.35263887	0.0012444315	0.0014532267	0.004575697	0.044671778	0.016750105
ù	0.031569257	0.95166725	0.004159402	0.001772453	0.0010234504	0.0049665743	0.004841522
p	0.15875846	0.8198307	0.006459405	0.0005044298	0.0027697587	0.011125351	0.0005518892
ò	0.049199183	0.93324304	0.0116367815	0.0018997483	0.0007747979	0.002593819	0.00065276516
s	0.009922366	0.95734835	0.024925087	0.002629431	0.0021540541	0.0029995355	2.1083728e-05
e	0.00984591	0.87167484	0.055030026	0.008455074	0.013787985	0.033650596	0.0075556757
b	0.0790658	0.45594636	0.18325597	0.15645438	0.07958748	0.038515538	0.007174493
o	0.0011951899	0.17679685	0.76150095	0.037824765	0.0058829333	0.014169324	0.0026299506
t	0.031307906	0.0486076	0.6946019	0.045953833	0.02095818	0.085017726	0.073552854
t	0.00060037494	0.009659676	0.901127	0.07219125	0.0023826452	0.010494769	0.0035442954
ì	0.002956786	0.006182423	0.9017602	0.021474851	0.016637608	0.047775555	0.0032127332
g	0.0016487241	0.0027683545	0.87848973	0.07378434	0.031220252	0.012000307	8.8233675e-05
l	0.00046434626	0.0019651891	0.83518034	0.099119365	0.028127426	0.032441784	0.002701478
i	0.0007375697	0.00032127235	0.41627017	0.09251917	0.1087984	0.29232594	0.089027524
e	0.004629973	0.0031394719	0.07080635	0.72684544	0.17439906	0.016097981	0.0040817927
ì	0.028377404	0.007527493	0.17889588	0.32143962	0.14686853	0.25865307	0.058238007
s	0.0040957723	0.0022300133	0.01224629	0.8864135	0.05057898	0.010050872	0.03438449
e	0.00010775963	0.00018485049	0.014067567	0.7651767	0.18985376	0.02934649	0.0012628161
g	0.003695532	0.0039728438	0.010988623	0.63718665	0.30681407	0.006648536	0.030693766
l	0.0011301812	0.0006039184	0.015808946	0.3109751	0.48368913	0.18082379	0.006968917
a	0.0011571319	0.000574374	0.009278294	0.19430323	0.6350382	0.14170441	0.017944371
m	0.00412295	0.0035226906	0.0077176266	0.23299769	0.70515627	0.026962496	0.019520376
m	0.0009100596	0.00018330559	0.002389771	0.012736271	0.33309692	0.6268513	0.023832276
è	0.0056509827	0.002860458	0.012984976	0.06678078	0.8277441	0.07050516	0.013473528
n	0.001059921	0.0032352936	0.0077358377	0.051323082	0.88426673	0.045470923	0.0069081793
a	4.7868194e-05	0.000104854415	0.00130963	0.057909124	0.7731731	0.07322169	0.094233714
d	0.042068288	0.04737955	0.0374268	0.37436283	0.4675331	0.013096247	0.018133227
è	0.0001694665	5.3082873e-05	0.0005395162	0.0025621948	0.086536825	0.8614221	0.048716694
k	0.013115289	0.009448696	0.03151607	0.1519644	0.7035265	0.08133126	0.009097756
a	6.4734755e-05	0.0001077078	0.00069512875	0.006987444	0.35498223	0.5711341	0.06602867
</S>	0.076596215	0.056693744	0.06742476	0.3334731	0.37900433	0.049347006	0.03746077
