 	vestita	la	figlia	l'	avevo	portata	alla	chiesa	</S>
n	0.99044913	0.0049547325	0.00020679182	0.00011911668	0.0014420263	0.0013981344	0.00028839507	0.00031220732	0.0008294933
d	0.97801083	0.0055468376	0.00062873296	0.0002637289	0.0017729739	0.0015345523	0.0010360688	0.0054057776	0.0058006314
ì	0.9385287	0.020018058	0.0013160949	0.00088152476	0.0034635204	0.004935208	0.006184529	0.024147378	0.00052495074
s	0.51842135	0.44343588	0.00784168	0.00082567194	0.006018162	0.0051720506	0.001695141	0.016571578	1.8483646e-05
o	0.3534864	0.37872648	0.02581497	0.007246613	0.0038751657	0.0062768557	0.0055320994	0.21532114	0.0037203825
n	0.035663947	0.89948076	0.01933891	0.003378329	0.01381466	0.0029519105	0.007311872	0.017404223	0.0006553979
t	0.0030406811	0.8620215	0.009231808	0.00040932797	0.0104515	0.017107325	0.0004831667	0.09609483	0.0011598732
a	0.008252729	0.6751895	0.08765466	0.02845102	0.00513853	0.006839531	0.019089848	0.16868706	0.0006971712
t	0.02451357	0.8305159	0.104233384	0.007752526	0.0077341977	0.004214143	0.0036281273	0.017348278	5.979369e-05
i	0.0014007706	0.527905	0.09436805	0.009450176	0.043445475	0.09541063	0.0016892257	0.2222979	0.00403284
k	0.022512037	0.19367236	0.6637808	0.02744905	0.034577735	0.008423205	0.006383526	0.021734053	0.021467173
i	0.0027296327	0.18368801	0.24261436	0.033754423	0.11341975	0.2273633	0.00223422	0.18776928	0.0064270217
a	0.0066097784	0.028772306	0.8881338	0.026985196	0.021260882	0.0053052977	0.0030370639	0.01387324	0.0060223974
t	0.025345927	0.02525106	0.45132202	0.21034887	0.06685006	0.08158367	0.007917889	0.12694491	0.004435514
è	0.0044485517	0.0136186145	0.231005	0.06709147	0.24122097	0.24762045	0.0014198418	0.19162661	0.0019486367
r	0.0060198195	0.0066892114	0.6455054	0.08786929	0.17627105	0.022282343	0.0073270565	0.047088332	0.0009474616
a	0.0004918978	0.002543106	0.6715337	0.22163256	0.06631154	0.02105298	0.0024866767	0.012827319	0.0011201801
t	0.013557287	0.017674912	0.2613	0.3517774	0.19264124	0.034420155	0.03197046	0.08329509	0.013363416
i	0.0017367668	0.001982476	0.12397781	0.0809547	0.40460294	0.25759402	0.0055797356	0.12314558	0.00042596037
n	0.015011886	0.014884711	0.08900689	0.14242657	0.44678926	0.052590173	0.032412905	0.18508376	0.021793691
ì	0.00044924548	0.0004062467	0.008032842	0.0335219	0.4383615	0.4617094	0.009027243	0.045987416	0.0025041802
c	0.0020349177	0.002191675	0.017561773	0.02686262	0.7747214	0.13166018	0.015858658	0.027840247	0.001268562
h	0.00034952097	0.00043949863	0.039756756	0.08562918	0.61106575	0.2333054	0.011529727	0.016163034	0.0017611863
a	0.0006105265	0.00046483893	0.029915117	0.08950632	0.6590053	0.07037371	0.08781635	0.038334973	0.023972854
p	0.0032321936	0.0057746056	0.0052519976	0.012491323	0.4750929	0.34628785	0.07822176	0.07220228	0.0014450717
à	0.00033477228	0.00020672208	0.0035626453	0.02172231	0.22508626	0.5670761	0.066115074	0.10348578	0.0124104405
r	0.000981975	0.0009117086	0.003926413	0.0031236194	0.5569372	0.31579447	0.08302805	0.03461129	0.00068520417
o	0.00025963562	0.00030214837	0.003929685	0.013261055	0.5419527	0.32419825	0.09300326	0.012827438	0.010265827
n	0.016805485	0.02158365	0.020195017	0.07874052	0.09303209	0.1713673	0.12912114	0.40992275	0.05923213
t	0.00038001715	0.00022371419	0.0014248816	0.0029526614	0.06890225	0.3339769	0.48962986	0.08481497	0.01769471
a	0.0016458371	0.0014960399	0.008824116	0.005400935	0.074416816	0.12361696	0.4729614	0.06538941	0.24624847
s	0.009204251	0.01297951	0.035533026	0.03647187	0.13285348	0.12642299	0.15243028	0.4363663	0.05773825
t	0.00020151306	9.564847e-05	0.00043347655	0.00074855186	0.00878424	0.06783094	0.5615725	0.14810382	0.21222927
i	0.0021072647	0.0016413209	0.008119833	0.0043479293	0.015798282	0.0380986	0.45409653	0.06999971	0.4057906
n	0.012234357	0.015731331	0.04358002	0.06213497	0.07878305	0.04342431	0.115454845	0.57550037	0.053156715
a	5.5100038e-05	2.1045447e-05	0.00010948842	0.00013937819	0.00090644095	0.0066533196	0.40408784	0.15691961	0.43110776
g	0.0015060927	0.0018365621	0.001952142	0.0061675906	0.0031227302	0.0025596349	0.0366302	0.94288445	0.0033405686
l	0.00089935964	0.00031342814	0.0016703227	0.00063849246	0.0013824423	0.0068447087	0.2723913	0.63683504	0.079025
i	0.0068826647	0.0042867525	0.021365656	0.004681714	0.017077815	0.018975379	0.13028297	0.4437098	0.35273725
s	0.004452322	0.004234204	0.009470086	0.043450117	0.0065300106	0.00374649	0.18288465	0.72492325	0.020308902
ì	0.0028164855	0.00083350245	0.005565399	0.00057897845	0.0026283218	0.014341108	0.049739603	0.89675534	0.02674133
a	0.0002951028	0.00052955863	0.0003396172	0.00076024845	0.0028113278	0.0025622172	0.008291603	0.94420254	0.04020788
</S>	0.028949093	0.017816756	0.08468644	0.13854514	0.050493985	0.061793495	0.22874713	0.30122474	0.08774316
