 	dovevo	comprare	il	pane	</S>
ì	0.98924094	0.0033482586	0.00012104595	0.00042754505	0.0068622115
c	0.99995315	2.3450184e-05	1.5610549e-06	2.4524577e-06	1.9326053e-05
h	0.99837273	0.00030313642	3.7045873e-05	0.00051112165	0.0007760321
a	0.97680795	0.01706712	0.0037056005	0.0022511706	0.00016803143
n	0.9946819	0.0019061925	0.000118044576	0.0032602777	3.3576354e-05
a	0.91656816	0.07303457	0.0020651093	0.0038677435	0.004464513
a	0.9433878	0.015916381	0.0020208228	0.036423758	0.0022512497
f	0.7857683	0.017488856	0.0114072	0.038840447	0.14649525
o	0.15850113	0.766141	0.017522004	0.012121856	0.045714065
r	0.054492045	0.014174011	0.061232924	0.3761521	0.4939489
à	0.11353837	0.44142464	0.19336823	0.06365482	0.18801388
s	0.07004172	0.042212218	0.42170614	0.3900148	0.07602518
o	0.0023009295	0.0073156063	0.9024696	0.04376845	0.04414548
t	0.10979988	0.005592874	0.66683424	0.17125483	0.04651818
o	0.0011587624	0.0029322195	0.27411404	0.70236	0.019434974
t	0.4323161	0.008259999	0.17452689	0.333963	0.050933916
s	0.0011230849	0.0069680447	0.02603588	0.939988	0.025884958
o	0.00029453036	0.0012120602	0.029123867	0.9645364	0.0048331264
m	0.069749616	0.013350145	0.055310857	0.8556801	0.005909203
ì	0.0003936849	0.0049131108	0.017061252	0.9744228	0.0032091707
</S>	0.144951	0.09015206	0.0790477	0.57502615	0.110823125
