 	è	che	sono	usciti	</S>
è	0.9804577	0.0041729496	0.0015616002	0.011312222	0.0024955182
n	0.69565105	0.11048679	0.0026293823	0.18791254	0.0033201629
a	0.52281374	0.3777944	0.032112192	0.029076269	0.038203362
g	0.03956044	0.17063895	0.12820311	0.6578889	0.0037086518
u	0.004640216	0.17874071	0.722316	0.04351402	0.05078896
ì	0.038241733	0.09812101	0.39760694	0.41957322	0.046457153
k	0.017288607	0.019125313	0.11366546	0.80948436	0.040436223
a	0.0029818162	0.012565097	0.9051875	0.025567774	0.053697906
n	0.050990198	0.07692054	0.1412811	0.64846367	0.082344465
e	0.008270005	0.012330629	0.27387	0.5956437	0.10988569
</S>	0.082883626	0.09838907	0.23663874	0.42388973	0.15819885
