 	devo	pulire	l'	albero	</S>
è	0.9928093	0.0017829702	0.0005536381	0.0012011263	0.003652907
n	0.99971193	0.00019984638	3.363238e-05	3.5725086e-05	1.8851128e-05
a	0.9661492	0.024427233	0.0027421098	0.0046782047	0.0020031813
k	0.35376605	0.5510249	0.06653264	0.026931353	0.0017451466
a	0.023472315	0.80379117	0.04518421	0.11764812	0.009904264
t	0.06981697	0.7567734	0.1380261	0.027821127	0.0075623663
à	0.0034365691	0.4426699	0.22928043	0.31703526	0.007577863
r	0.0039591286	0.34318718	0.6258457	0.024173798	0.0028342444
o	0.0016036048	0.29701245	0.6364193	0.0313128	0.033651937
t	0.01480092	0.06387297	0.735213	0.1199392	0.06617396
o	0.0003835226	0.0071367994	0.19177768	0.7980711	0.0026309306
n	0.025529457	0.06627534	0.40684605	0.27917343	0.22217575
à	4.287723e-05	0.00026648468	0.0070071933	0.9916544	0.0010290507
r	0.03765712	0.05285965	0.11280133	0.73218435	0.06449758
b	0.0007017667	0.0018569554	0.036254555	0.87649137	0.08469529
u	0.0010283787	0.01158163	0.13037756	0.09881412	0.7581984
r	0.0077600814	0.044437144	0.07488609	0.77743894	0.09547777
o	0.00014324508	0.0005255439	0.0034537145	0.65145534	0.34442222
</S>	0.05958671	0.107315466	0.29180953	0.48344794	0.057840396
