 	devo	comprare	il	pane	ogni	ogni	giorno	</S>
è	0.9924063	0.0016041212	0.00010775549	2.514876e-05	0.00048149965	0.00051063334	0.0020126395	0.0028519547
n	0.99992216	4.248141e-05	2.0569553e-06	4.629474e-06	2.5230286e-06	3.395074e-06	1.8412245e-06	2.0835365e-05
a	0.9959116	0.0015063686	2.6357637e-05	0.0012672092	0.00023309799	0.00042510318	0.00021055315	0.00041969924
v	0.9391373	0.012774311	0.0015758794	0.029478561	0.0051060542	0.010267683	0.0010428455	0.0006173752
o	0.48696375	0.4571685	0.006649511	0.009857241	0.003708734	0.008356574	0.015337965	0.011957712
r	0.055647314	0.016783757	0.03695971	0.06853506	0.019858807	0.032464728	0.04370363	0.726047
à	0.23358724	0.40905175	0.022734525	0.048355784	0.039087586	0.042180624	0.123976104	0.081026435
s	0.06088017	0.09274244	0.1301772	0.69190854	0.006145153	0.008242115	0.0024371294	0.0074672727
o	0.0014591652	0.032272164	0.78873754	0.07160135	0.021650009	0.022307636	0.008717865	0.053254254
o	0.0393357	0.0038065524	0.38911405	0.3563992	0.05043895	0.12730901	0.021239933	0.012356552
t	0.18917066	0.004672826	0.16895355	0.51186585	0.05606946	0.034295455	0.0040614675	0.030910682
s	0.014090015	0.0033603436	0.07527825	0.8465142	0.030600335	0.018674538	0.0070513655	0.0044308803
o	0.0022596763	0.001539658	0.058718845	0.90410596	0.019745972	0.009590976	0.00338834	0.0006505454
m	0.0644137	0.0051963776	0.034448273	0.19617547	0.23991354	0.2662028	0.07869427	0.11495563
ì	0.0009566764	0.0029632708	0.013161272	0.8989878	0.057688426	0.0134636145	0.011114618	0.0016643659
k	0.0019510529	0.0012520604	0.008476911	0.0089409705	0.5429146	0.42440072	0.011194016	0.0008695457
u	0.00023124061	0.0009362057	0.028158935	0.0327739	0.68255	0.16289318	0.09085672	0.0015998235
à	0.023872148	0.004265123	0.015501021	0.008981374	0.17871717	0.65343225	0.10536905	0.009861866
i	0.15404554	0.0010536247	0.0024460296	0.0054996153	0.0864546	0.5569562	0.1764237	0.017120749
k	0.013134645	0.00021634452	0.00048382382	0.0017100923	0.048916616	0.31688637	0.46542355	0.15322857
u	0.007013462	0.0016842842	0.0010127808	0.0057796403	0.07379077	0.39671287	0.50656414	0.007442035
à	0.13613099	0.0017001359	0.003043646	0.0065425085	0.12370717	0.54816204	0.15256612	0.028147405
i	0.07442362	0.0018808509	0.0039222324	0.0072449017	0.029556997	0.15874518	0.6978506	0.026375659
m	0.007735234	0.0005632987	0.0005161187	0.0010670206	0.0101912385	0.058401205	0.88920003	0.03232585
è	0.00042066482	0.0013600423	0.00068865245	0.0025251845	0.017963512	0.059150554	0.9130101	0.004881387
r	0.02136503	0.012200327	0.0055791526	0.0012713408	0.045204863	0.17841901	0.7140059	0.021954287
i	0.0006786702	0.0010885536	0.00045842756	0.0004479516	0.0074748304	0.023809848	0.9592757	0.006766058
</S>	0.22258605	0.025079757	0.06611585	0.017369771	0.08449518	0.1956268	0.3146914	0.07403512
