 	entrò	da	qui	</S>
m	0.9776849	0.011687939	0.009292519	0.0013347694
b	0.8425224	0.026515782	0.114516474	0.016445326
ì	0.596062	0.121715784	0.28061882	0.0016033535
k	0.07101945	0.8429153	0.08258329	0.0034819318
e	0.16951881	0.19482173	0.6129479	0.022711528
a	0.05294273	0.5587834	0.36322346	0.025050351
p	0.10522843	0.05447635	0.80798477	0.032310452
ò	0.0057322676	0.005779695	0.98832124	0.00016684132
t	0.015084434	0.045730017	0.93823564	0.00094995537
t	0.00066237635	0.003584625	0.974096	0.021657005
u	0.025224635	0.031584818	0.5268433	0.41634724
</S>	0.18958068	0.34400496	0.45282307	0.013591284
