 	volevo	trovare	un	forno	che	fa	un	rustico	buono	</S>
ì	0.9856932	0.009366335	0.0015315829	0.0014241661	0.00017387612	0.00018543008	0.00015807642	9.9393e-05	0.00022831053	0.0011395916
s	0.9812329	0.018035177	0.00023206859	0.00015385752	1.8319302e-05	6.8700265e-06	2.3958359e-05	1.106676e-05	0.00027337403	1.2428555e-05
e	0.90655154	0.07654371	0.0067239595	0.0044020414	0.0003934355	0.00020605122	0.0002198281	0.00015056667	0.0041132914	0.00069547066
l	0.25524566	0.64494324	0.06771657	0.01936563	0.0041588773	0.0027325442	0.0006957535	0.0026745945	0.0008765272	0.0015906952
a	0.12731248	0.7649149	0.05594292	0.013527016	0.0011252192	0.0010355699	0.0020266948	0.00039029372	0.032189287	0.0015356238
n	0.015461801	0.9245038	0.04908929	0.007839625	0.0010487324	0.00043629378	0.00017355867	0.00036625518	0.0006073321	0.0004732989
a	0.010050936	0.7173096	0.2075249	0.024543568	0.0014860511	0.0015217199	0.0027478514	0.000600433	0.032962553	0.0012523757
v	0.004040898	0.9342859	0.05463775	0.0042502116	0.000609799	0.00033129245	7.719587e-05	0.00032706873	0.00030125424	0.0011386605
r	0.0063162236	0.59147865	0.28342408	0.03985122	0.0036271766	0.0032520639	0.0048196344	0.0008673013	0.06530009	0.001063568
ì	0.002462657	0.64352167	0.1585627	0.014193599	0.009384716	0.015723858	0.005251449	0.023458255	0.12189302	0.005548117
k	0.0008263885	0.30668342	0.62876874	0.036449794	0.019012466	0.0026842153	0.0007840503	0.0031173718	0.0016257338	4.778769e-05
o	0.00067296054	0.38802326	0.48502028	0.04325525	0.033879347	0.009271722	0.003409198	0.007621778	0.022412403	0.0064338194
a	0.016827406	0.03922715	0.56091785	0.1224315	0.12612529	0.04891288	0.038543064	0.021022465	0.0153587	0.010633706
f	0.008216072	0.041628562	0.19195686	0.6907531	0.048952013	0.0026865073	0.0026680245	0.0011845588	0.0070395255	0.004914812
ù	0.003496637	0.013822093	0.17179504	0.6712055	0.070450746	0.013863181	0.0076264045	0.0006002116	0.046319716	0.00082038733
r	0.009093727	0.01837877	0.16448951	0.64795524	0.11680798	0.023779433	0.0034564498	0.001839842	0.00974061	0.0044584195
n	0.0010233285	0.0100656105	0.11154165	0.5944745	0.23764187	0.021069925	0.004274356	0.0013634734	0.01695939	0.00158583
o	0.0019053806	0.0024573652	0.081497334	0.12981108	0.30830687	0.14783452	0.063042626	0.06634437	0.068834074	0.12996629
k	0.004751212	0.0034095284	0.01804591	0.19980365	0.5569197	0.14211135	0.021876937	0.026728053	0.022572279	0.0037814218
a	0.00049097487	0.0011546292	0.008691996	0.4238695	0.29734778	0.082810074	0.031727448	0.0051404876	0.14778137	0.0009857116
k	0.0059975116	0.0048383665	0.014385553	0.13190582	0.58979446	0.15639052	0.034813408	0.006866208	0.03640257	0.01860555
a	0.00091031066	0.0010606569	0.0024463136	0.265293	0.3092143	0.18493398	0.06463683	0.0053894226	0.16535535	0.000759772
n	0.009925174	0.009481023	0.01750502	0.13782565	0.53985065	0.18345699	0.041546952	0.0034189133	0.041621868	0.015367792
n	0.00075068395	0.00041664732	0.0010053925	0.094399415	0.24084823	0.36668065	0.14189164	0.038692266	0.11231799	0.0029970857
i	0.0007404061	0.0023960304	0.00315486	0.10884615	0.44336718	0.33495304	0.027587887	0.019125279	0.053420022	0.006409102
u	0.0060083675	0.0024028325	0.0064438405	0.013603367	0.18724893	0.46572888	0.12229835	0.09507272	0.060056265	0.041136496
n	0.020876035	0.012197876	0.014850527	0.05269789	0.060250144	0.1841357	0.41274902	0.07723393	0.0669536	0.0980553
r	0.00066038413	0.0004847202	0.0006886406	0.011747521	0.062000725	0.41465086	0.27142265	0.11046923	0.122229174	0.0056461818
ù	0.0018989359	0.004572657	0.0040840316	0.042449635	0.1765362	0.52787125	0.103282504	0.045774765	0.08733843	0.0061916243
s	0.0008752934	0.0001560049	0.000354747	0.0012040084	0.01637406	0.19373666	0.62361	0.10182319	0.06119377	0.000672301
t	0.00030210937	0.00019013404	0.00034236466	0.0133610135	0.11505437	0.4855176	0.23777129	0.079923406	0.05790538	0.009632276
i	0.00021125577	9.822254e-05	0.00037370154	0.0006614098	0.018228328	0.14794399	0.26012713	0.076756135	0.029798718	0.4658011
k	0.0055010854	0.0011768432	0.004307021	0.0038133552	0.02948242	0.10101255	0.55655223	0.1209222	0.1598823	0.017350025
o	0.00016061729	0.00030946595	0.00030117063	0.002173157	0.011671369	0.06950078	0.3194702	0.36894798	0.1745675	0.05289775
k	0.00403847	0.0049498635	0.014127103	0.008214856	0.06055788	0.06265398	0.24251202	0.15705684	0.41867486	0.02721418
a	0.00017175866	0.0003815343	0.00026344002	0.00071124494	0.0017631396	0.012438188	0.16488513	0.35830468	0.43457744	0.026503421
l	0.0035513835	0.002896815	0.00684178	0.0045066564	0.019575126	0.01935041	0.1459941	0.030265046	0.7629428	0.0040759216
ù	9.1856e-05	0.000102495746	0.00010805224	0.00019455721	0.0005250498	0.003018577	0.045625594	0.34760505	0.57504016	0.027688652
</S>	0.00053638674	0.00025955832	0.00046247855	0.0006226285	0.0016203016	0.0031885526	0.040315405	0.005163	0.94615346	0.0016781857
