 	Anna	ora	sta	vicino	a	me	dormendo	</S>
i	0.9728157	0.022468619	0.0011975414	0.00046059216	0.00043666727	0.0004599923	0.0005910407	0.0015699213
A	0.9701357	0.022270218	0.0014900379	0.00018702992	0.00027955056	0.0005195788	0.0017275382	0.003390326
n	0.4544272	0.54054976	0.0040515317	0.00023217723	0.00014846041	0.00025003587	0.0003064079	3.441708e-05
n	0.9415107	0.028328948	0.025973033	0.00087662955	0.0006828011	0.00038690056	0.0011810607	0.0010598917
a	0.36399493	0.025404954	0.1789461	0.058835786	0.11197478	0.21859874	0.017735876	0.024508858
à	0.1007342	0.56629056	0.26376662	0.033569016	0.018035233	0.0124791	0.0045620953	0.00056319725
r	0.01724766	0.91749406	0.005435283	0.0031521	0.007896273	0.011854987	0.024692876	0.012226692
t	0.01295041	0.86959875	0.112792924	0.0008470256	0.00028117982	0.000232384	0.0025064717	0.0007907399
e	0.0063750693	0.09019748	0.40742394	0.061612584	0.1362654	0.24153852	0.028709738	0.027877297
n	0.011785566	0.18351015	0.69069624	0.075900435	0.019409351	0.011315146	0.0064590042	0.000924061
a	0.0010152205	0.31619552	0.60216355	0.035455514	0.0068998043	0.002369784	0.033512626	0.0023879753
s	0.011923893	0.02275686	0.6495499	0.20408352	0.05202641	0.021743245	0.017206771	0.0207093
t	0.0017408951	0.117295824	0.6431633	0.13560402	0.017505756	0.0022706506	0.078788765	0.003630786
è	0.003121894	0.0032188518	0.867288	0.05797429	0.024001699	0.0076428335	0.03424607	0.002506279
i	0.001328685	0.001038398	0.1200782	0.6942505	0.14845031	0.030858856	0.0038141028	0.00018091245
i	0.0050016106	0.0074335677	0.021063296	0.7027572	0.08290639	0.022795437	0.14520696	0.012835555
t	0.029958183	0.0048447307	0.02017408	0.29394123	0.34366494	0.21234989	0.008185078	0.086881846
t	0.020056596	0.0042224876	0.07252607	0.5922042	0.15375103	0.024395237	0.12907588	0.003768476
u	0.00207573	0.00029837107	0.014863125	0.7781965	0.15208511	0.027669119	0.024485534	0.00032654614
m	0.00560929	0.0011565884	0.013024707	0.4429222	0.29951307	0.14841159	0.08556434	0.0037981225
b	0.0021854718	0.00014712897	0.015215939	0.41540343	0.33986476	0.15708043	0.039686345	0.030416492
r	0.0005008343	0.00011257532	0.0073207268	0.6582851	0.23428358	0.08000624	0.018045157	0.0014457983
ò	0.0027630846	0.00027680653	0.009748661	0.30902952	0.34701264	0.20434266	0.09600936	0.030817267
s	0.0001435981	0.000106459534	0.00042254882	0.09218944	0.30861092	0.57703364	0.020922234	0.000571108
e	4.3993456e-05	2.3583936e-05	0.0013904482	0.14913891	0.4119739	0.40997502	0.018340822	0.009113353
m	0.002190259	0.00095905	0.022497842	0.09986643	0.21166568	0.50360376	0.14002506	0.019191923
è	0.00037645278	5.3198328e-05	0.0042361384	0.13712865	0.20613508	0.5765116	0.043918125	0.031640716
n	0.0019216153	0.00025897735	0.0013757718	0.016065272	0.102382414	0.749946	0.12643023	0.0016196647
a	0.00016317121	4.0106246e-05	0.00045053853	0.024237365	0.15974358	0.7046933	0.10055501	0.010116962
s	0.004088048	0.0022773982	0.02782911	0.081210345	0.16298161	0.3724911	0.33881125	0.01031113
t	0.00035898807	6.84643e-05	0.0015614058	0.0044800797	0.01579583	0.13964377	0.8129989	0.02509257
e	0.00082494854	0.00016538898	0.0057722107	0.014618967	0.07326002	0.42478186	0.42122823	0.059348397
p	0.0015392172	0.0012110698	0.019469641	0.06589055	0.16882537	0.3649491	0.36459047	0.01352453
l	0.00010460793	2.6678494e-05	0.00054948806	0.0003429566	0.0019011399	0.02344872	0.92514133	0.04848511
ò	0.00033967866	5.0133764e-05	0.003717806	0.0032207256	0.014323315	0.06788839	0.860779	0.049681067
n	0.0002636082	0.00038613475	0.0007895816	0.006113319	0.015930723	0.09588785	0.8509009	0.029727964
n	5.3589632e-05	2.962423e-05	0.00010618431	0.0010666596	0.0057245875	0.11809345	0.69847685	0.17644908
i	0.00019826961	3.828156e-05	0.003917279	0.005596042	0.03329843	0.16395251	0.427492	0.3655072
</S>	0.0019209414	0.004155344	0.01868983	0.11767749	0.15930444	0.27683303	0.35755074	0.06386821
