 	li	vestono	i	genitori	</S>
t	0.92691517	0.03341871	0.0029608503	0.026513126	0.010192124
u	0.42120105	0.034859568	0.024668654	0.30382332	0.2154475
s	0.018153124	0.4598684	0.02138399	0.48674306	0.013851315
i	0.00039483112	0.5228205	0.002010186	0.4688006	0.005973972
n	0.03376242	0.5428646	0.11278455	0.27878973	0.031798635
d	0.00065393175	0.4837331	0.027322736	0.4753602	0.012930148
ì	0.0030212917	0.7488938	0.051621392	0.14351445	0.052949145
n	0.011919311	0.33193946	0.6208455	0.03470219	0.0005934754
n	0.0025623785	0.70006657	0.19283436	0.08601131	0.018525401
o	0.01607536	0.037109453	0.8491802	0.006791789	0.09084319
n	0.1855842	0.06273514	0.5410558	0.15015632	0.060468588
e	6.6560424e-05	0.002383383	0.007247266	0.9751305	0.015172288
i	0.13066982	0.1670567	0.17117868	0.35647562	0.17461918
g	0.034538954	0.21230333	0.032741576	0.6205934	0.0998227
e	0.00042261256	0.0017784797	7.747124e-05	0.99656135	0.0011601193
n	0.0033250456	0.027746277	0.0020400905	0.9512576	0.015630994
i	0.0010920822	0.0012692137	0.0005078535	0.9741159	0.023014845
t	0.009246055	0.052304447	0.022948213	0.8736734	0.041827876
ò	0.005268045	0.009363947	0.0012913421	0.9681816	0.015895158
r	0.0034668206	0.073369905	0.009640197	0.6720697	0.24145332
i	0.00094716455	0.025783228	0.0023771988	0.8384427	0.13244979
</S>	0.054479733	0.14056264	0.26239392	0.36543503	0.17712866
