 	il	muro	vuole	uno	specchio	</S>
o	0.93151194	0.038625766	0.013530307	0.00021070366	0.015660077	0.0004612512
t	0.6604096	0.098867066	0.1459419	0.010485003	0.037950143	0.04634628
ì	0.0049146623	0.8985965	0.059887383	0.00016338872	0.014124691	0.022313358
c	0.035313644	0.6385397	0.06383562	0.21239412	0.020907983	0.029008886
h	0.052173823	0.77801627	0.13006452	0.0018295138	0.016768321	0.021147478
o	0.010263595	0.19719018	0.0041146	0.77029365	0.005701725	0.012436189
t	0.03882354	0.30164742	0.2230251	0.29827455	0.13018987	0.008039559
è	0.00057044893	0.027811332	0.8746884	0.004050792	0.08606253	0.006816362
l	0.007801686	0.025463967	0.7513599	0.14626446	0.0654626	0.0036473647
i	0.0008896742	0.015100861	0.84760356	0.04025717	0.08621177	0.0099370275
è	0.02713771	0.08160466	0.112683974	0.08619226	0.6204394	0.07194191
n	0.00088572165	0.015169231	0.3850031	0.0015802778	0.5796392	0.017722491
a	0.0006944032	0.0047807787	0.39926356	0.082039274	0.4377903	0.07543166
n	0.009122358	0.060980048	0.08966816	0.015439845	0.68551546	0.13927417
j	0.00038621906	0.0005596308	0.038346395	0.008145947	0.93831915	0.014242699
a	0.0056411973	0.004877112	0.013961205	0.38102242	0.16029257	0.43420544
l	0.022473097	0.06045526	0.06294451	0.09074562	0.7208308	0.04255068
ì	5.195586e-06	3.8148213e-05	0.00053547404	0.00036126425	0.9966036	0.0024563286
</S>	0.00025715938	0.004203759	0.011194692	0.05083869	0.90095305	0.03255273
