 	deve	che	entra	da	qui	</S>
è	0.993915	0.0028540234	0.0008092405	0.00057748606	0.0009252779	0.0009189831
n	0.99777395	0.0011177368	0.0003535122	0.000108608736	0.00017329559	0.00047296818
g	0.94607896	0.027205547	0.009146597	0.00442124	0.010906928	0.002240598
h	0.025633708	0.16685495	0.5341385	0.2037086	0.060469568	0.009194675
i	0.035175964	0.394584	0.36431727	0.12393331	0.031011647	0.05097775
s	0.019509427	0.35070097	0.26535848	0.2471998	0.11525404	0.0019772435
e	0.003309061	0.21025747	0.56552684	0.08489797	0.1278235	0.008185168
n	0.033883262	0.095925435	0.17765042	0.5109043	0.16617998	0.015456603
a	0.00077497313	0.0035672232	0.09381889	0.576284	0.3219963	0.003558647
m	0.011430668	0.02382959	0.14380221	0.47865522	0.21921869	0.12306358
b	0.00478032	0.008530579	0.018087814	0.4164395	0.54126555	0.010896227
i	0.008881037	0.0142746605	0.03395666	0.31765312	0.61035216	0.014882387
a	0.006514083	0.031145714	0.04329058	0.18071681	0.7014155	0.03691733
p	0.044621274	0.010995867	0.0046248855	0.0074751494	0.92780375	0.004479097
ò	0.0003877249	0.00022516238	0.00056622527	0.0029668675	0.9957657	8.8305205e-05
t	0.00082430034	0.00063625234	0.0017537526	0.0029980848	0.9919723	0.0018153478
t	0.00011898215	9.510333e-05	0.00044375448	0.0015475922	0.9933589	0.0044357255
ù	0.0011196615	0.004795991	0.027257357	0.04066774	0.6287514	0.29740787
</S>	0.006832163	0.021094335	0.048636377	0.08456819	0.8188395	0.020029414
