 	Marika	è	che	si	sposa	domani	</S>
M	0.9703746	0.021166814	0.00081972394	0.0005584756	0.0005018332	0.0056536277	0.00092494534
a	0.83228296	0.03412322	0.0023685058	0.0012555501	0.0025862118	0.084968604	0.042414952
r	0.09710258	0.05116598	0.020894473	0.042055216	0.0112459725	0.045682505	0.7318533
ì	0.05793194	0.89807934	0.022019459	0.0038571763	0.004021984	0.009464279	0.0046258685
k	0.0058112913	0.889128	0.069615655	0.024346279	0.009294387	0.0014177938	0.0003866181
a	0.009781453	0.6950372	0.17796752	0.03789129	0.020118458	0.0047666994	0.05443743
è	0.003168829	0.095902726	0.43688765	0.33902293	0.067207545	0.028411983	0.029398443
n	0.012547851	0.04657646	0.29678422	0.3306259	0.061264377	0.14576037	0.106440805
a	0.0003198574	0.012752642	0.5016628	0.4147769	0.060387965	0.0053140596	0.00478572
r	0.0029777887	0.05037646	0.13616727	0.3449637	0.17677791	0.057049356	0.23168753
m	0.0011786135	0.0033891357	0.03633556	0.13028476	0.72387254	0.10229321	0.002646128
a	0.00013400399	0.016877118	0.36262205	0.31233886	0.05066859	0.002285426	0.25507385
s	0.00057801843	0.019724464	0.05717059	0.17181177	0.562719	0.094115146	0.093881086
t	0.00013206384	0.00061451865	0.0039918604	0.024274835	0.83300525	0.13382724	0.004154246
ì	0.00010595235	0.004235652	0.011747869	0.03709761	0.370853	0.0050287903	0.57093114
à	0.00030721494	0.0028951517	0.006274367	0.018092515	0.5870977	0.37500456	0.010328412
v	0.009712291	0.00228454	0.0016835426	0.0019500125	0.044721536	0.9387666	0.0008815162
v	0.0011692473	0.0013071579	0.0008667912	0.0016828604	0.14172925	0.8298424	0.023402236
r	0.00019159613	0.0018712024	0.0035710414	0.007320955	0.07047067	0.036816552	0.879758
i	3.4163462e-05	0.00043346206	0.00069937884	0.0010917664	0.012144982	0.029953998	0.9556423
</S>	0.012792667	0.03443845	0.056796607	0.08105739	0.11987392	0.49420133	0.20083961
