 	vuole	pianto	</S>
e	0.9122678	0.072337255	0.015395017
t	0.9527144	0.041496046	0.0057896
è	0.96346486	0.032063156	0.0044720024
l	0.98460084	0.015169264	0.00022996633
i	0.4439147	0.5439639	0.0121213505
k	0.43717614	0.54843444	0.014389412
l	0.0020492664	0.99533963	0.0026111044
a	0.001196594	0.95188	0.046923477
m	0.09406983	0.88025236	0.025677878
m	0.0014783606	0.93035334	0.06816824
è	0.029816749	0.91989225	0.05029107
n	0.46953568	0.38563824	0.14482613
o	0.0035359242	0.026467437	0.9699967
</S>	0.64821696	0.30166027	0.0501228
