 	voglio	che	Maria	venga	domani	</S>
i	0.9743842	0.0058144806	0.009095521	0.0014364081	0.00834687	0.0009225525
t	0.9578307	0.0017076578	0.031036453	0.0011415293	0.003337939	0.0049456563
è	0.5981242	0.025119994	0.27445796	0.0055149775	0.090672225	0.006110704
l	0.9219516	0.03908189	0.0278989	0.0014620149	0.006428364	0.0031772493
o	0.3141561	0.6175229	0.030049711	0.010186412	0.00576561	0.022319226
n	0.03927134	0.8938184	0.0041940934	0.030850086	0.020003628	0.011862429
a	0.0047719954	0.65216863	0.26638615	0.04982787	0.015682684	0.011162643
r	0.07510146	0.6285214	0.046382993	0.087053604	0.057188597	0.10575202
t	0.0011304537	0.037760068	0.764391	0.15623768	0.034344755	0.0061361436
i	0.0072512846	0.36647075	0.069521196	0.06593672	0.007073908	0.4837462
à	0.062886365	0.35430858	0.13020386	0.30890435	0.074473985	0.069222845
v	0.007785221	0.012975307	0.29493156	0.20134538	0.45768878	0.025273751
v	0.0010945747	0.005068411	0.7301311	0.13409488	0.11703506	0.012575964
r	0.0005118348	0.0056421426	0.0051563475	0.024901388	0.005200143	0.9585882
i	0.00027240338	0.0027755138	0.005909131	0.03410182	0.0069461237	0.94999504
i	0.001889677	0.014178493	0.0025815808	0.41102865	0.29505673	0.27526492
M	0.0072342283	0.022987964	0.017010741	0.11150608	0.8235224	0.017738573
a	0.0015514855	0.0054782317	0.009296843	0.22789565	0.70778674	0.047991034
r	0.023224177	0.03713677	0.0035304886	0.36963248	0.5050254	0.06145068
ì	7.632748e-05	0.00017822997	0.0010754231	0.0769891	0.91402936	0.0076515153
a	0.001992689	0.0035376796	0.0029159568	0.18761127	0.53642833	0.26751408
</S>	0.008847854	0.022279361	0.073072076	0.18192808	0.6957366	0.018135993
