 	non	ha	da	mangiare	</S>
e	0.92969036	0.050916113	0.0048554386	0.0037359602	0.010802084
n	0.018854344	0.06125597	0.0144264335	0.055609126	0.8498542
è	0.0049874773	0.8855311	0.03352626	0.06140836	0.014546813
c	0.003234334	0.92260885	0.016135862	0.043350812	0.014670126
h	0.0020079783	0.6650009	0.051447414	0.25800774	0.023535864
i	0.009736171	0.39333752	0.49945426	0.07080558	0.02666649
n	0.004977012	0.108725436	0.69146633	0.18849213	0.006339142
a	0.004784163	0.009601334	0.36874464	0.54319966	0.07367015
f	0.048140656	0.20151325	0.20631403	0.49826986	0.045762263
à	0.0008624255	0.00056930835	0.029966034	0.9606506	0.007951627
i	0.0021440745	0.00915327	0.038230795	0.93492144	0.015550323
</S>	0.1693882	0.539317	0.16259423	0.11623088	0.012469747
