 	quando	io	divento	vecchia	vendo	la	casa	vendo	la	casa	a	Trieste	vengo	e	abito	a	Martano	</S>
m	0.97578454	0.015384418	0.004309641	0.00078855996	0.001275581	0.00013752842	0.00011334788	0.00016547948	8.212721e-05	7.642996e-05	8.092886e-05	9.238462e-05	7.1553906e-05	8.950127e-05	0.00010864691	0.00024917242	0.00019218377	0.0009980804
ò	0.8631103	0.042762022	0.008557967	0.0035907016	0.0007114564	0.00059617904	0.00022689278	0.00021235029	0.00030290478	0.0001674075	0.00042464025	0.000119712415	0.00043489938	0.0011936899	0.0025875964	0.005760564	0.006338131	0.06290255
t	0.85940164	0.1285845	0.008937155	0.0013279513	0.0004418014	5.2252402e-05	2.8753037e-05	1.8663995e-05	1.7596974e-05	1.1631578e-05	2.3444236e-05	5.5725104e-06	8.857255e-06	3.191154e-05	0.0006690438	0.000115607065	0.00018540602	0.00013820187
t	0.8564574	0.1205447	0.010452785	0.008192787	0.0011360426	0.00034379028	9.857744e-05	0.00021774339	4.4153123e-05	1.8088775e-05	2.8611114e-05	2.2578193e-05	2.649871e-05	3.8695664e-05	9.837205e-05	0.00019900831	0.001173961	0.00090630073
i	0.1133922	0.37456203	0.065649785	0.22508892	0.015450603	0.041798774	0.013163971	0.00950149	0.008877035	0.0030062653	0.0052247182	0.00053282495	0.0010870883	0.0024521882	0.095285594	0.010595143	0.010542824	0.0037885113
i	0.01339491	0.9019956	0.056465916	0.01909156	0.0051180953	0.0008127627	0.00027132232	0.00019168464	0.00013258032	5.3694956e-05	0.00010667453	1.9432342e-05	1.9521554e-05	5.203475e-05	0.0017184328	0.00013216902	8.778289e-05	0.00033586533
v	0.008265174	0.75411135	0.1976534	0.009747485	0.0009751896	0.0005274427	0.00036047213	0.00023927286	0.0003081985	0.00027235487	0.00049047585	0.00034541686	0.00038836556	0.0013543145	0.0047120657	0.0042212405	0.0064616026	0.00956616
ò	0.0036482892	0.66732585	0.2972227	0.01594949	0.0036239896	0.00028624883	0.00019165072	0.00032943487	0.00017713067	0.000111031	0.0002525152	0.00021604949	0.00023293293	0.0003727225	0.00013239754	0.0011716558	0.007810219	0.00094560586
e	0.0014339639	0.8274888	0.14499468	0.022886857	0.0019807315	0.00025639965	5.117631e-05	3.6189038e-05	4.4802204e-05	1.1614652e-05	4.105463e-05	2.908391e-06	6.2882204e-06	1.9726256e-05	0.0005330906	8.82761e-05	4.3392818e-05	8.006173e-05
g	0.008690152	0.43538612	0.43833312	0.033968456	0.0060039926	0.0018746192	0.0016951787	0.0010018819	0.0021809808	0.0022816323	0.0067203413	0.0006725708	0.0033712895	0.013539244	0.009698987	0.012478127	0.0058890297	0.016214205
h	0.0031930283	0.24680737	0.6230921	0.10545343	0.014196367	0.0004569202	0.00012144643	9.3109105e-05	5.748317e-05	3.2187312e-05	7.555869e-05	5.5065604e-05	6.587009e-05	0.00014861675	0.00010144839	0.0006439928	0.0046897787	0.00071621634
è	0.0014112074	0.183646	0.4016289	0.37174964	0.014330643	0.012875492	0.0023845113	0.0014936867	0.0010287632	0.0003712452	0.00044795562	0.000117827985	0.00016178344	0.0002466256	0.0036569075	0.0014923867	0.0027050874	0.00025125456
n	0.0011037524	0.036614433	0.24216546	0.567621	0.109540954	0.03233815	0.0048872777	0.0022334259	0.00075539865	0.00025503192	0.00027541674	6.9258116e-05	5.3139684e-05	7.468846e-05	0.00129197	0.00031766263	0.00034339857	5.962736e-05
n	0.00074023573	0.0741006	0.38902214	0.4089288	0.06501039	0.036979225	0.005172419	0.0014128927	0.0022845878	0.00076690933	0.001389155	0.00038702035	0.0005905871	0.0005681709	0.00071175315	0.0024907757	0.008211356	0.0012329593
o	0.0002471788	0.012083526	0.07510542	0.6000566	0.026692837	0.031677637	0.008165833	0.0025033813	0.008417675	0.0049307765	0.013502709	0.00063110323	0.0035481348	0.012370508	0.15344542	0.024748039	0.006275203	0.015598047
m	0.0026732981	0.004772746	0.026518593	0.481109	0.34681794	0.09790147	0.01901443	0.007945668	0.0027414607	0.001308959	0.0012383888	0.00040357513	0.0003601373	0.00035020034	0.004651926	0.0007140599	0.00063518714	0.0008428656
e	0.0003217351	0.0029120895	0.021162184	0.6544417	0.1421691	0.13288847	0.021685382	0.004122683	0.004593986	0.0021470506	0.002203829	0.0013855363	0.001235441	0.0007682811	0.00012199104	0.0013963092	0.006261212	0.00018296739
v	0.0037603665	0.0032230027	0.0166575	0.14357582	0.7097785	0.10024699	0.010368821	0.00600771	0.0010014755	0.0003581635	0.00040469118	0.00020321601	0.00024255873	0.0002560664	0.0008397993	0.000433985	0.00036591565	0.0022754644
è	0.00077626423	0.0023736204	0.012075404	0.53558356	0.25269744	0.08880748	0.032401394	0.015799036	0.0016103456	0.001525779	0.00061959965	0.0024749395	0.0013468729	0.0012792692	0.00020522175	0.002933123	0.04665746	0.00083313684
k	0.0009002885	0.0017913019	0.006959911	0.17782281	0.62801415	0.16790581	0.011641832	0.0034074986	0.00058141747	0.00010038422	0.00011819514	2.7328264e-05	2.9237022e-05	3.7058307e-05	0.0001954098	0.00013505609	0.00021194253	0.00012028817
k	0.0002734838	0.00058834505	0.010700384	0.15353982	0.41947302	0.3238751	0.06368988	0.008858461	0.0077161333	0.001788482	0.0020729795	0.00044829334	0.00065148214	0.00054818246	0.00046616152	0.0015690578	0.0027793455	0.0009614684
i	0.00023397215	0.0007321133	0.005440337	0.2338119	0.28038758	0.27673563	0.042979907	0.0080069695	0.015121808	0.008071382	0.015670113	0.001964412	0.011020193	0.020239249	0.032059595	0.022569375	0.0061894637	0.01876597
a	0.0012528239	0.000788877	0.0029177056	0.01344813	0.37468228	0.41665465	0.14784797	0.019042477	0.008989279	0.0045457305	0.0021558977	0.0007246361	0.0007056351	0.00055248773	0.003362024	0.0009360779	0.0012619167	0.00013144052
e	0.003284762	0.0061303177	0.007766413	0.032885924	0.4841096	0.2616071	0.11491151	0.023602698	0.015620239	0.0057845535	0.00805159	0.0018076274	0.0016713229	0.0051394724	0.0062805135	0.0063256235	0.006438002	0.008582746
p	0.004688638	0.004643733	0.007846117	0.010579865	0.36413887	0.23430012	0.20064433	0.048651025	0.03585817	0.016473178	0.014110244	0.005017717	0.0040308763	0.009204119	0.004850258	0.0076617477	0.007555146	0.019745825
u	0.0029884533	0.0035519674	0.004473157	0.06519335	0.3701809	0.3445153	0.11308101	0.06011359	0.0129406545	0.0045628264	0.0019267297	0.0018700638	0.0007360883	0.00076010526	0.00027636567	0.001241808	0.011135302	0.0004523954
l	0.0038901167	0.00259947	0.008298258	0.0040236507	0.5236717	0.26654226	0.10877397	0.06961524	0.004850967	0.0014680922	0.0006635289	0.00070296996	0.00050081353	0.00056555594	0.00016506927	0.0007427378	0.00042729158	0.0024982977
ò	0.00048568234	0.00062077073	0.0008240953	0.015761916	0.17507085	0.17954367	0.2241157	0.27933875	0.026095772	0.032197405	0.0032492548	0.034963686	0.003390055	0.0016467428	0.00074367423	0.0019808498	0.01655427	0.0034168714
o	0.0016122211	0.0006356422	0.004138679	0.0038860235	0.1940746	0.32824934	0.24148114	0.16749986	0.03348007	0.009804014	0.004783849	0.0012500404	0.0013783156	0.0013463246	0.00085238274	0.0015263372	0.0023467669	0.0016544559
s	0.0005564691	0.00042993051	0.0014125672	0.0035240666	0.070025615	0.17720562	0.2944346	0.30977178	0.06148972	0.034459647	0.014308786	0.0077021825	0.0041164896	0.004859497	0.002062843	0.0040338174	0.00490678	0.0046995734
p	0.0010493193	0.0011188539	0.001335027	0.00692671	0.06113924	0.297532	0.31732878	0.1757444	0.07056814	0.030172285	0.0064492463	0.0068099466	0.0017003635	0.0010316152	0.00045299262	0.0019976662	0.018348826	0.0002945861
ì	0.0005335114	0.00040896432	0.00081546826	0.0010913362	0.044096813	0.3073294	0.39035434	0.116439685	0.09399764	0.030034482	0.0067644715	0.0015237576	0.001295071	0.00080060953	0.0006060618	0.0013986693	0.002378848	0.000130808
