 	ho	cosa	a	fare	</S>
è	0.99084705	0.0014258687	0.0022650592	0.003710515	0.0017514408
c	0.73795134	0.019395195	0.017338268	0.12510751	0.10020778
h	0.85949486	0.019740088	0.034460604	0.03615707	0.05014741
o	0.011486742	0.8916839	0.04230456	0.04909781	0.0054268916
t	0.115650885	0.085702956	0.7726258	0.01953749	0.0064828573
i	0.021915076	0.14516349	0.2570238	0.45116183	0.12473582
k	0.22948644	0.071463995	0.58594406	0.06741557	0.045689996
à	0.0058882157	0.0048004324	0.24175529	0.70024467	0.047311384
i	0.025875427	0.030155104	0.61979175	0.28826526	0.035912476
</S>	0.64554864	0.16205591	0.1750692	0.008729292	0.008596909
