 	oggi	abbiamo	deciso	di	andare	al	mare	alla	spiaggia	sono	andati	tutti	solamente	mio	fratello	non	</S>
s	0.9874622	0.0056467443	0.0035557114	0.00031759148	0.00013890391	0.00017496933	0.00011212848	0.00010346935	0.00015680202	0.000101261394	0.00012236222	0.000131149	5.374758e-05	5.9959868e-05	0.00034674554	0.00056852866	0.00094754517
ì	0.9781839	0.010822057	0.0027792256	0.00035083367	0.00030651604	0.00010147067	9.5495845e-05	0.00011534388	9.0213915e-05	8.61412e-05	9.361495e-05	6.588092e-05	1.1295053e-05	9.040632e-05	3.428751e-05	0.0007515493	0.0060216878
m	0.9389755	0.039926212	0.020499326	0.000109339766	0.0002118162	6.7449575e-05	5.207657e-05	5.1931063e-05	6.439064e-06	7.397082e-06	2.0905427e-05	6.414474e-06	6.731472e-06	5.2792816e-06	1.4102406e-05	3.0660667e-05	8.406761e-06
b	0.92280203	0.046345852	0.014184244	0.0013514024	0.0042708176	0.0033991104	0.0024885032	0.0010016356	0.00024070487	0.00022523694	0.00016147975	0.00012934973	8.697242e-05	0.0001349102	0.00024904867	0.0013529104	0.0015757956
e	0.0993052	0.107464164	0.11946812	0.3158988	0.118878245	0.06956005	0.050385445	0.03139916	0.005883763	0.008530398	0.020634992	0.0031828578	0.0050018616	0.006163371	0.024633901	0.00867622	0.004933415
r	0.076286934	0.60270834	0.2875218	0.0061650234	0.007214017	0.007244024	0.003023186	0.0013827038	0.00087737245	0.00028687483	0.0013115751	0.00017325343	0.00081261434	0.00022365135	0.001318792	0.0015698987	0.0018798996
i	0.024698753	0.7594392	0.15123878	0.032259315	0.0030963046	0.0032364114	0.0007776997	0.00037944192	0.0061314735	0.0033213843	0.00051534723	0.007876708	0.00010516724	0.0009941241	0.0010842332	0.0014935822	0.0033520984
d	0.017784232	0.78558415	0.18937159	0.0026417514	0.0014102623	0.0008036436	0.0003743404	0.00020032164	4.1048934e-05	2.0768137e-05	0.00017089995	1.4375698e-05	8.5184365e-05	2.3671566e-05	7.817508e-05	0.00031754968	0.0010779873
e	0.0021049248	0.6398538	0.2978813	0.03835013	0.005057004	0.0016914562	0.00021102017	0.0001224322	0.003959639	0.0014075616	0.00026604644	0.004938518	7.0151975e-05	0.00043175343	0.0006153261	0.00045834223	0.0025805847
c	0.007714961	0.84027195	0.14796577	0.0016805966	0.0009976996	0.0002790247	6.921215e-05	3.3797543e-05	9.971764e-06	3.943328e-06	1.9175743e-05	3.2354687e-06	1.4329503e-05	3.893686e-06	1.5764694e-05	0.00018787115	0.00072888535
i	0.0013412463	0.44223052	0.4170277	0.09419567	0.023825437	0.0055514784	0.0003555817	0.00017717599	0.0046288087	0.0014749531	0.00022782503	0.005529537	5.964941e-05	0.00036652354	0.00065735896	0.00030574985	0.0020447671
d	0.008103793	0.7220242	0.25016752	0.009823213	0.0067186155	0.0006698083	0.00018491803	9.0865855e-05	2.8979086e-05	1.2170767e-05	5.4779764e-05	7.2647595e-06	4.999131e-05	1.5350834e-05	4.2317162e-05	0.0005852134	0.0014210301
è	0.0019601844	0.35173663	0.554916	0.056406766	0.021998215	0.005801969	0.00028904062	0.000110627334	0.0023535118	0.0005075725	7.4926334e-05	0.0024580946	3.7477443e-05	9.930709e-05	0.0002833155	0.00014290487	0.00082345825
s	0.005677109	0.24814408	0.71455103	0.015996346	0.009924125	0.0047684433	0.00038279596	9.038552e-05	5.3469128e-05	1.1539725e-05	3.1670468e-05	1.5987363e-05	1.4404629e-05	5.5086693e-06	1.8755794e-05	6.468735e-05	0.00024979268
s	0.0017801406	0.29366216	0.5136238	0.052697845	0.07865775	0.05188386	0.005569734	0.0011594194	0.00015455918	0.00010571328	6.610525e-05	6.804266e-05	2.4263116e-05	3.167508e-05	4.2861244e-05	0.00029022607	0.0001819255
a	0.0003707581	0.0122604575	0.07166062	0.7760774	0.07915766	0.026731335	0.0085357195	0.0055863075	0.0007938616	0.001504971	0.0045596524	0.0006944376	0.0029832262	0.003537932	0.002671901	0.0018661007	0.0010077083
m	0.014894992	0.0547574	0.22429433	0.059347942	0.13605241	0.46478876	0.026579646	0.006723836	0.003811002	0.0015663756	0.0022416997	0.0012740799	0.00038740833	0.0003468519	0.0018637163	0.00054354855	0.0005258768
o	0.000119281984	0.0039901193	0.013761579	0.3409536	0.5744128	0.04904497	0.008656466	0.0044052657	0.0010308569	0.00062545144	0.0004272475	0.00088207837	0.0002710375	0.00035576939	0.0006571267	0.0003065766	9.974275e-05
n	0.04502254	0.044964895	0.10199621	0.011342121	0.37610656	0.32215232	0.046817686	0.006653332	0.018805211	0.0041640373	0.00094831944	0.0055809948	0.0014782452	0.0011925423	0.0020029957	0.0011454925	0.0096265
a	0.00085096195	0.007818221	0.036791053	0.14521542	0.5274291	0.20166385	0.012792846	0.00616426	0.024203222	0.0072712083	0.00085661677	0.016040621	0.00029793702	0.0023586939	0.0041450253	0.0016051903	0.0044957064
p	0.053227153	0.10206947	0.26451686	0.0049247006	0.23866063	0.29746842	0.02489581	0.0038923381	0.0021261356	0.0004145969	0.00038262614	0.00045730025	0.00027746637	0.000118563374	0.00021621656	0.00045938877	0.005892346
à	0.00079145725	0.0033408778	0.013473758	0.043838575	0.71167874	0.18499723	0.013155774	0.005901915	0.010392482	0.002593228	0.00022746627	0.00696706	7.5591735e-05	0.0004277033	0.00092709414	0.0004300178	0.0007810453
m	0.028507035	0.03746309	0.09252139	0.001641029	0.100734286	0.63150215	0.08406673	0.013705212	0.0043976693	0.0010126688	0.0008571273	0.0008466016	0.0003707242	0.00019652882	0.00033823622	0.00035844446	0.0014811117
e	0.00050118857	0.0006237842	0.0019582722	0.010534132	0.14916973	0.47007212	0.24444556	0.04224605	0.022269752	0.010975069	0.005654152	0.005770376	0.013476464	0.0039690617	0.007698415	0.007570509	0.003065321
s	0.010463561	0.007453986	0.013478715	0.00060353475	0.021064209	0.7362154	0.16662374	0.016831411	0.015786726	0.00437229	0.00058436824	0.004141117	0.00039836433	0.00045058934	0.0009460624	0.00019936895	0.0003865926
t	0.0004313634	0.0010145275	0.0030770171	0.011735339	0.6181079	0.24596275	0.06365501	0.033983927	0.010767289	0.004836331	0.0005033385	0.003710765	0.00012360865	0.0006972284	0.00085748493	0.0003581251	0.00017792553
i	0.0022204183	0.0039693923	0.0068369703	0.0051315804	0.13496962	0.5025306	0.21370679	0.10008931	0.002670452	0.0028728212	0.0058020847	0.0010763272	0.003997813	0.00309433	0.0074290237	0.0030253436	0.0005771137
t	0.00607258	0.0041278754	0.008915743	0.00043377606	0.0044784555	0.70360243	0.22059387	0.030566206	0.011765275	0.0035620467	0.0012932222	0.0018339762	0.0003572179	0.00038048066	0.0012187127	0.0003009379	0.00049725507
à	0.0003384202	0.0006610029	0.0015059018	0.014632402	0.5450407	0.18614063	0.06775849	0.053722885	0.067108184	0.032182924	0.0017163834	0.016195256	0.000716053	0.0045539895	0.004537107	0.001838573	0.0013510756
l	0.011399301	0.011754184	0.024075082	0.0006235686	0.010898201	0.37179437	0.40723565	0.08845569	0.050862603	0.013478699	0.0021426945	0.0039888737	0.0005889104	0.00057889154	0.0012477773	0.0001921561	0.0006832976
a	0.0014123264	0.0012559633	0.0016272962	0.0006711813	0.06304411	0.34070665	0.4083451	0.12359044	0.031493586	0.0159172	0.0048548263	0.0011611128	0.0009639311	0.00059405895	0.00042791764	0.0034373216	0.00049695966
s	0.009067712	0.009291603	0.010576639	0.0010230384	0.0043217386	0.14794575	0.52753574	0.15913321	0.07266453	0.034529526	0.0028988852	0.012086126	0.001414661	0.002420995	0.0027550661	0.00039353216	0.0019411821
s	0.0010504967	0.0019990525	0.0030754928	0.004858847	0.19519384	0.20487253	0.2716103	0.19724034	0.067623734	0.03404033	0.005017393	0.0071596126	0.00071059895	0.001979247	0.00234407	0.00095073285	0.0002734131
a	0.0025161582	0.0022441605	0.0033236134	0.0011460737	0.0046431087	0.15567084	0.48628607	0.2508312	0.018721493	0.0148993945	0.019988501	0.002163804	0.014101628	0.0062981728	0.010348341	0.0057415697	0.0010759613
s	0.008304912	0.0048202695	0.0092008915	0.0005545486	0.0008506679	0.14764732	0.4955698	0.10540021	0.14546539	0.0514505	0.008000799	0.009955016	0.0026528188	0.0026416236	0.005944444	0.00079348043	0.0007473013
t	0.0004401285	0.0008428941	0.0017792153	0.012085305	0.15427485	0.1268074	0.16146879	0.21196418	0.15470304	0.11269941	0.012109293	0.025314407	0.0032023266	0.009219724	0.005897588	0.004976586	0.0022148818
i	0.0020168375	0.0020330495	0.0040197335	0.0015909569	0.007323143	0.099875845	0.42713398	0.36559853	0.018190607	0.017115064	0.024728823	0.0017168536	0.007004345	0.00360925	0.006096104	0.008282407	0.0036645215
s	0.007960859	0.005580955	0.010998392	0.00081093336	0.00093719666	0.09010986	0.42217976	0.107375294	0.22128907	0.0919355	0.009711004	0.01454379	0.0034230412	0.0036519505	0.0060204742	0.0009998084	0.002472146
p	0.00036743892	0.00063854054	0.0012485038	0.012196001	0.09263411	0.066363856	0.118610844	0.17104726	0.23628168	0.20366146	0.019129252	0.037513264	0.0042595873	0.015627202	0.008324834	0.007954408	0.004141819
i	0.0026813895	0.0028168657	0.004056289	0.0009763124	0.0039012593	0.07237681	0.45348245	0.3443143	0.036084346	0.0338424	0.022201078	0.001901993	0.005460543	0.0026383146	0.0060690986	0.0063205524	0.00087599625
à	0.0060967626	0.004308184	0.008209495	0.0013633484	0.0014026292	0.042927433	0.22583576	0.064911775	0.42111075	0.15236887	0.016031867	0.024283543	0.0054127593	0.00592942	0.010332851	0.0027112982	0.006763294
