 	io	non	so	cosa	è	da	scrivere	</S>
e	0.9941801	0.0020000734	0.00040512416	1.3145139e-05	0.00033232503	0.00029285043	0.00090127153	0.0018751788
v	0.95778704	0.0015326022	0.0020533926	0.00015110496	8.418435e-05	0.00029773678	0.025837267	0.012256837
ò	0.9803955	0.0013162005	0.0063045034	6.440686e-05	0.0003122907	0.0011758188	0.0032319515	0.0071993163
e	0.97717655	0.009100411	0.0013468898	0.0008633636	0.0005371519	0.0013624884	0.008487371	0.0011258184
n	0.073538356	0.004801609	0.08780016	0.023995856	0.008839823	0.044084087	0.27932897	0.47761118
e	0.111538514	0.008361776	0.7562764	0.0036720186	0.010664748	0.011409418	0.051431287	0.04664582
s	0.38060436	0.04587235	0.026784342	0.039491296	0.16565111	0.21842615	0.102776304	0.020394145
s	0.046134483	0.0136440005	0.53521866	0.06257375	0.17370628	0.061425474	0.043000776	0.06429662
è	0.014977868	0.11790888	0.06979241	0.41925707	0.18704647	0.09129715	0.09129443	0.008425669
r	0.006547281	0.006092659	0.00071051525	0.6297534	0.23074736	0.12334504	0.0018882368	0.0009155646
o	0.000110780216	0.0009748497	0.007885232	0.90710354	0.053972185	0.01116188	0.013123022	0.0056684236
t	0.0035261333	0.024595905	0.0004942448	0.07161169	0.5516643	0.3312455	0.0031901004	0.013672164
i	0.0012436172	0.0057380823	0.0075877346	0.18845962	0.6819187	0.1017455	0.009644781	0.0036620677
e	0.005431938	0.03236674	0.00037786708	0.005865657	0.432826	0.47330678	0.02472098	0.025103992
n	0.0041003027	0.009435761	0.0056332895	0.005665772	0.11629235	0.18407416	0.511321	0.16347739
a	0.00091442134	0.014370675	0.003469379	0.0035522792	0.5881778	0.325042	0.05054874	0.013924618
g	0.030735608	0.030120734	0.00044967458	0.0023182423	0.20936726	0.6150346	0.08481797	0.027155915
r	0.00044586454	0.008080674	0.0031391424	0.0061460957	0.18403497	0.6077647	0.15060025	0.039788242
à	0.0014001575	0.013177162	0.00039297514	0.011180923	0.2589611	0.6547625	0.05292034	0.0072048265
s	0.0011204043	0.0075497986	0.0016992863	0.006844083	0.06012367	0.87613493	0.020816196	0.025711613
s	3.9520124e-05	0.00022368887	0.00039581626	0.0008114233	0.0035564776	0.101438515	0.8814194	0.012115057
o	4.138434e-05	0.008239365	0.0014975957	0.014010347	0.017355267	0.13668756	0.6024879	0.21968058
</S>	0.0052243313	0.081016146	0.024624305	0.071440294	0.24214877	0.503282	0.04473605	0.027528007
