 	non	mangiare	la	sera	</S>
m	0.96467894	0.014108129	0.005105782	0.0060415748	0.010065514
i	0.017660642	0.044771515	0.0965504	0.53330654	0.30771086
f	0.012658337	0.65737635	0.12193708	0.0394153	0.16861296
a	0.0010714054	0.8645301	0.10587686	0.02650422	0.002017398
i	0.014684694	0.7499683	0.092407085	0.012568009	0.13037188
o	0.014476097	0.07403372	0.41059127	0.10135194	0.39954695
v	0.013033645	0.03725068	0.35929617	0.23721072	0.35320878
r	0.012195736	0.12368933	0.31203392	0.43889675	0.113184236
à	0.028350297	0.14777142	0.5808565	0.23105481	0.011967036
i	0.0069656563	0.02701011	0.15306574	0.80785614	0.0051022833
</S>	0.19523823	0.32199016	0.30729246	0.10912112	0.066358
