 	io	non	ho	cosa	da	mangiare	</S>
e	0.99529064	0.0012349278	0.0012994772	7.7153105e-05	0.00039527108	0.0004059509	0.0012967895
v	0.9901453	0.0010456686	0.00027867095	0.00026898514	0.0002881472	0.0020602762	0.0059129796
ò	0.9752481	0.00052961987	0.0017156525	4.6207897e-05	0.00041874847	0.015598716	0.00644299
e	0.9585394	0.024968857	0.003090758	0.0034023041	0.0028519342	0.0057325554	0.0014140008
n	0.20750752	0.02722424	0.037901234	0.12888165	0.0784318	0.10060763	0.41944593
è	0.10634111	0.0043757493	0.75512314	0.0030812796	0.008807462	0.08301809	0.039253116
c	0.03572954	0.018099174	0.8383788	0.033868056	0.030549059	0.040845312	0.002530036
h	0.004724698	0.0071518193	0.5616042	0.1379094	0.047558635	0.22991286	0.011138453
o	6.054655e-05	0.0064339084	0.07943734	0.87645054	0.028983898	0.0073745847	0.0012592296
t	0.0059990543	0.012685762	0.10850918	0.27056667	0.3825594	0.21161383	0.008066056
i	0.0022788784	0.006619829	0.020117428	0.47255227	0.146843	0.33625978	0.015328746
è	0.009858219	0.06354379	0.13341515	0.03793745	0.4260418	0.285497	0.04370665
n	0.013780664	0.031426713	0.09658268	0.011561705	0.38812864	0.33726403	0.12125563
a	0.00017185751	0.00068497827	0.0034372404	0.0055082245	0.5961289	0.37615398	0.017914891
f	0.0059136995	0.0405672	0.09696917	0.02868373	0.1509392	0.61276263	0.064164326
à	0.00015134396	0.0010010044	0.0007289313	0.0011889483	0.12221063	0.86927193	0.0054471255
o	0.0011849257	0.0064875064	0.016272737	0.002662175	0.03127309	0.93723094	0.0048885574
</S>	0.0047312034	0.21104637	0.19923957	0.05754973	0.17529358	0.29976493	0.05237456
