 	ho	rotto	una	bottiglia	</S>
è	0.99579066	0.0020862247	0.00076438935	0.00037485134	0.0009839297
g	0.9575588	0.038014855	0.00030889217	0.0010242705	0.0030930913
l	0.888255	0.10163673	0.0018633533	0.005100812	0.0031441902
a	0.16951647	0.71829444	0.0061311526	0.103109084	0.002948836
s	0.030353585	0.9432465	0.023412103	0.0028980714	8.959763e-05
a	0.0043741683	0.9437632	0.014402779	0.0292447	0.008215077
m	0.14596905	0.7264763	0.10312967	0.020179925	0.004245066
i	0.005968481	0.60342073	0.13549004	0.16200326	0.09311745
a	0.08501858	0.1392947	0.4664678	0.16171028	0.14750859
b	0.049845833	0.11379304	0.7956171	0.016553761	0.02419033
u	0.011093371	0.060501054	0.87586397	0.051336396	0.0012051677
t	0.051129345	0.050284028	0.80694956	0.05284804	0.03878904
t	0.001811704	0.007914881	0.59032285	0.38869923	0.011251384
ì	0.008794213	0.03182199	0.44545	0.4794845	0.034449242
g	0.011858583	0.017070506	0.57113117	0.38847253	0.011467236
l	0.0011432669	0.0022589674	0.3598455	0.59884346	0.037908774
i	0.0018897881	0.0038800717	0.103062786	0.32800704	0.5631603
a	0.09427805	0.124410905	0.52266276	0.20618159	0.05246666
</S>	0.3946813	0.2356693	0.2527985	0.059236504	0.05761444
