 	la	donna	pulisce	la	casa	l'	uomo	no	</S>
e	0.9862466	0.010797908	0.001030037	0.00025365222	0.00021387871	0.0001055811	0.0003716678	0.00041967293	0.000561093
j	0.6505728	0.2541415	0.0068318495	0.001141194	0.0012395758	0.000364015	0.0013915993	0.059308864	0.025008654
i	0.1766458	0.67017424	0.040063925	0.004199795	0.0038969943	0.0021326253	0.0031769173	0.018653138	0.0810566
n	0.029172739	0.67950666	0.010519432	0.0042750505	0.004057173	0.016056882	0.001766922	0.01488525	0.23975985
è	0.031740893	0.3934438	0.47488236	0.009467281	0.0072755422	0.0021082526	0.003944155	0.0497571	0.02738058
k	0.0026337805	0.9890671	0.0076314895	0.00026717188	5.6754667e-05	7.519747e-05	1.4520405e-05	0.00015063041	0.00010332526
a	0.0011949736	0.8996488	0.08573583	0.0048232586	0.0010993117	0.0017308758	0.00011295837	0.0018726005	0.0037813773
p	0.0079173595	0.07409909	0.8623387	0.024108024	0.0094133075	0.0028066775	0.004598977	0.012333974	0.0023837779
u	0.0029793251	0.15146619	0.6559274	0.10877992	0.022270013	0.001627301	0.0035977277	0.05210408	0.0012480151
l	0.014056684	0.0916087	0.8183357	0.038178105	0.005616216	0.004158403	0.0016906036	0.004332562	0.022023074
i	0.00076470827	0.0021661436	0.69976074	0.17597944	0.06772483	0.0035566632	0.008564613	0.038729724	0.0027532284
z	0.002937375	0.03361202	0.78899044	0.13704242	0.013673358	0.003057664	0.0013741674	0.006949879	0.012362648
z	0.001129068	0.0045197317	0.43936026	0.3339961	0.14778934	0.009953569	0.01740053	0.043791067	0.0020604108
è	0.0025779703	0.03312254	0.21043406	0.5897154	0.09063604	0.033665072	0.006430118	0.031006819	0.0024119671
i	0.0006173182	0.004683486	0.2751827	0.5384459	0.13492082	0.03961627	0.0026995991	0.0036465325	0.00018740467
o	0.012311499	0.007865737	0.15026394	0.32928666	0.3518023	0.0064221956	0.11233687	0.028367084	0.0013437527
s	0.019974176	0.039736047	0.015603427	0.32029012	0.3381975	0.12389458	0.0144156525	0.030146748	0.09774177
p	0.0066035497	0.024509288	0.016258424	0.25766265	0.49147722	0.052097857	0.10840632	0.040210295	0.0027743645
ì	0.0030054748	0.009263413	0.018013129	0.4618122	0.4453878	0.015104933	0.012413155	0.034706093	0.00029381132
t	0.00046634194	0.0010494135	0.003942959	0.08102576	0.66807634	0.07866119	0.13940895	0.027314018	5.5067565e-05
i	0.00010266815	0.00015907362	0.0037960673	0.21084085	0.50196433	0.2249928	0.028665166	0.026222957	0.0032560881
o	0.0024818059	0.0029238039	0.011349681	0.028041387	0.11925895	0.47998673	0.24341948	0.090887204	0.021650929
à	0.009578317	0.029482242	0.014921639	0.018640153	0.076185554	0.097334415	0.5713416	0.11086944	0.07164668
n	0.00292835	0.001259139	0.014314042	0.0038471054	0.031327225	0.0055998066	0.8523025	0.07924066	0.009181216
t	0.00034106788	0.00016870821	0.0010484022	0.0053324625	0.0844383	0.030925993	0.48420703	0.39157704	0.0019609756
r	0.0009773565	0.0015269477	0.0063740094	0.104031324	0.3079339	0.21426556	0.043483365	0.2171283	0.1042792
e	0.00031560022	0.00042056758	0.0009073043	0.0045163888	0.06849477	0.09209721	0.40064877	0.33710334	0.09549603
p	0.0011775864	0.0007271676	0.015402317	0.008816847	0.033411115	0.046957552	0.5396744	0.3323113	0.02152175
o	0.0008085003	0.0027918848	0.0012682545	0.002839045	0.01656539	0.06972514	0.43265608	0.37815723	0.095188335
d	0.004324569	0.003416461	0.0057717585	0.016955528	0.019597776	0.0063306848	0.06115061	0.87944925	0.003003365
è	0.00013628307	0.0001798669	0.00023262946	0.00026389046	0.00127245	0.027898943	0.15439151	0.7837798	0.031844568
g	0.000104146995	0.00012230972	0.00017296188	0.00047858208	0.0016074036	0.002294748	0.031139348	0.94460744	0.019473018
g	0.00021885897	0.00042503135	0.00012204081	0.0008651262	0.001923535	0.0035546839	0.02152911	0.95242566	0.018935917
h	5.6136083e-05	0.00012888054	0.00020277494	0.00076112075	0.0022764252	0.0029591739	0.008310432	0.71666914	0.26863587
e	5.4238117e-05	7.028747e-05	0.00027053163	0.0007611893	0.0025488115	0.0024284716	0.009379232	0.7333633	0.251124
</S>	0.0043346817	0.002004303	0.06333461	0.021130802	0.06851507	0.0336993	0.118983015	0.6563273	0.031670846
