 	se	si	era	vestita	la	mia	figlia	l'	avessi	portata	alla	chiesa	</S>
a	0.78878963	0.16288309	0.038203314	0.0018311533	0.0009767488	0.00042038437	0.00047871305	0.00036446727	0.0015114407	0.0018476293	0.00096430833	0.00091479294	0.00081434275
n	0.09230979	0.26465905	0.02901467	0.0022219846	0.0022643814	0.00034436092	0.00031265616	0.00022774808	0.0025454438	0.0056137214	0.019091066	0.040117987	0.5412771
ì	0.00046003077	0.12738593	0.8477646	0.0031324213	0.0014684787	0.00030624264	0.00032343093	9.502719e-05	0.0014039155	0.0016055702	0.0013597343	0.012562421	0.0021321804
c	0.00095970137	0.6493513	0.325985	0.0015488877	0.0009756552	0.0015772858	0.0011852346	0.0011624842	0.00014714999	0.0001750702	0.0032363308	0.01217314	0.001522667
h	0.0022018172	0.4750624	0.48254746	0.011371203	0.0023335759	0.00013031116	0.000101748774	5.620001e-05	0.00080230605	0.0011561859	8.898118e-05	0.02353815	0.000609588
a	0.0035259388	0.48936668	0.21376336	0.108411044	0.011628826	0.025277166	0.02581047	0.040139228	0.0011393962	0.0008314786	0.05130786	0.028335372	0.0004631549
n	0.0026133924	0.069167666	0.56172174	0.2747701	0.062682375	0.0013397947	0.0029084184	0.0012272072	0.003428759	0.0021421805	0.0040793074	0.013865275	5.3715812e-05
d	0.008495127	0.010235998	0.38529676	0.1390047	0.014157221	0.00268276	0.0023068795	0.001737044	0.013928691	0.024529722	0.0015208911	0.39484975	0.001254478
ì	0.03205757	0.008054521	0.03824277	0.6590204	0.036411844	0.042224232	0.025035944	0.036047187	0.003578855	0.0029309634	0.01748555	0.097252876	0.0016573467
s	0.0016951254	0.0052298405	0.032208953	0.66419464	0.24912572	0.015710298	0.00935471	0.0035125068	0.0017382392	0.0010214577	0.0029641783	0.013206744	3.757953e-05
o	0.00090575125	0.001526622	0.042641442	0.43265966	0.09440862	0.32939222	0.037486892	0.010946784	0.0018127365	0.0022205631	0.0055004954	0.03840789	0.0020902785
n	0.0043995227	0.008166592	0.007095389	0.3096685	0.55870193	0.040888652	0.02679313	0.009710205	0.007772191	0.0047219843	0.005213327	0.015649369	0.0012192253
t	0.008807306	0.0008290054	0.020283481	0.3080296	0.3080546	0.020496069	0.00403764	0.00084390887	0.028581817	0.03108668	0.001261774	0.26614612	0.0015420115
