 	lo	posso	finire	di	fare	</S>
t	0.9642856	0.024534762	0.004939242	0.0025711302	0.0027563768	0.0009128205
o	0.824133	0.07208982	0.005461066	0.015477315	0.030762034	0.05207677
s	0.06386515	0.12366941	0.5019355	0.24032165	0.04558623	0.024622068
ò	0.00073074707	0.99342465	0.0034463266	0.00020053607	0.0010128906	0.0011847997
z	0.07223785	0.73259455	0.15015386	0.03608897	0.0054259193	0.0034988963
o	0.058701795	0.7262744	0.0658875	0.06424161	0.011687145	0.0732075
s	0.05427432	0.5333945	0.38616902	0.00725905	0.00595168	0.012951438
p	0.0028810033	0.8077008	0.16888632	0.009797097	0.0044803764	0.0062544527
i	0.039506145	0.050914217	0.40927553	0.4447593	0.044106863	0.011437845
c	0.104656436	0.045640588	0.75159734	0.06955774	0.01973456	0.008813369
c	0.0018305315	0.044259425	0.7714897	0.06826138	0.08563663	0.028522316
è	0.0029390359	0.009795844	0.8771238	0.09853814	0.0032755625	0.008327697
t	0.006531199	0.020109443	0.9455104	0.024066973	0.0028387513	0.0009431675
s	0.00013522351	0.0012652306	0.21591322	0.47717234	0.2920431	0.013470917
i	0.0034332934	0.0070359963	0.3038852	0.23536775	0.22193018	0.22834761
t	0.07836863	0.26760682	0.59247524	0.021590985	0.019768223	0.020190103
s	0.00020364902	0.00023648811	0.00805519	0.71758026	0.23474357	0.039180916
è	0.010204442	0.0043458636	0.2529659	0.45953065	0.116510995	0.15644214
k	0.02904136	0.118350856	0.6683403	0.11854322	0.048417006	0.017307222
à	3.51886e-05	8.4418294e-05	0.0025126154	0.21850395	0.7499561	0.028907826
m	0.17216583	0.08556939	0.4587933	0.17782784	0.09426494	0.011378783
i	0.0002830216	0.0020530182	0.012401865	0.1648155	0.79987895	0.020567652
</S>	0.3175897	0.12414742	0.38389766	0.10284888	0.053983476	0.01753268
