 	la	macchina	vuole	riparata	dal	meccanico	</S>
e	0.9919369	0.003710178	0.0022388394	0.00017972982	0.0002800963	0.00030766818	0.0013465551
m	0.6876084	0.2635768	0.016672393	0.010053335	0.0032752897	0.0021951622	0.016618563
à	0.22729188	0.67641866	0.038391482	0.0017179453	0.0037911383	0.0014112672	0.050977625
k	0.48954618	0.42332244	0.08199622	0.0018888866	0.0017496513	0.0008374856	0.0006591856
i	0.09117274	0.88368624	0.01050052	0.0052805874	0.0025267606	0.00207909	0.004754027
n	0.03396284	0.8460189	0.10152962	0.002027299	0.013950168	0.0012711685	0.0012400468
a	0.0023236903	0.92011565	0.07365682	0.000779356	0.002229557	0.0002736144	0.000621291
t	0.04739642	0.2823869	0.636583	0.006962509	0.01012461	0.0032641073	0.013282457
è	0.0028761746	0.13431048	0.84254384	0.006936335	0.009577703	0.00092969957	0.0028258644
l	0.0040030824	0.036198184	0.94836813	0.0057442626	0.004181434	0.00042068408	0.0010841885
i	0.0011136747	0.046098705	0.7083213	0.21196933	0.009461091	0.012074534	0.010961366
s	0.015609708	0.034751117	0.68160087	0.07970907	0.16366191	0.01445831	0.010208979
t	0.0015451437	0.022137055	0.5917642	0.34719905	0.033053953	0.0025810653	0.0017195602
i	0.0017302423	0.009229891	0.14013895	0.8175539	0.0138823325	0.0115589835	0.00590575
a	0.03977168	0.120421946	0.30443373	0.25260752	0.24130607	0.027508454	0.013950578
m	0.023318987	0.014521985	0.10261044	0.4673964	0.21698147	0.045096595	0.1300742
m	0.0021127923	0.00867317	0.021252345	0.8856074	0.053822536	0.019407645	0.009124112
è	0.019651847	0.070511796	0.043980677	0.6682718	0.17279828	0.02076979	0.004015805
n	0.0019561227	0.0025779386	0.027499478	0.14768562	0.7905739	0.027550247	0.0021566337
i	0.00010938805	0.00015019272	0.030075377	0.8382172	0.095275804	0.033256344	0.002915631
a	0.00613295	0.007427242	0.015789378	0.036832865	0.77877855	0.14804216	0.0069968053
t	0.023878632	0.021339877	0.022814106	0.02367215	0.7105839	0.11110831	0.086603045
t	0.0051458785	0.015971642	0.0050663357	0.042655118	0.8283848	0.089963354	0.012812819
o	0.0031840522	0.004805605	0.013890965	0.05710257	0.8590164	0.058512967	0.003487444
m	0.012164668	0.020427382	0.023487344	0.03098904	0.5017804	0.40356982	0.0075813304
e	0.0017501644	0.004598711	0.00091393857	0.08983613	0.09522921	0.7790948	0.028577108
k	0.05182622	0.14331955	0.03219524	0.03430977	0.5567239	0.18028094	0.0013443679
k	0.0023599719	0.010646209	0.0012752201	0.028370053	0.14476766	0.74923337	0.06334756
à	0.014403533	0.03258421	0.018552352	0.073706426	0.5858701	0.25216925	0.022714179
n	0.0007704331	0.00090754655	0.0030018953	0.004964965	0.15429506	0.82503176	0.0110283485
i	0.00011433264	0.00013587583	0.00026825044	0.0030193306	0.07728904	0.8889558	0.030217389
k	0.024768459	0.029982457	0.034173824	0.039605502	0.14959167	0.71506774	0.0068102675
o	0.00015164264	0.00024922253	0.0001444534	0.013623319	0.0065604276	0.95581466	0.023456363
</S>	0.06035938	0.082141966	0.056585465	0.095462255	0.19280438	0.50833297	0.0043135937
